"ENTITY_CD","SCHOOL_NAME","YEAR","DISTRICT_CD","DISTRICT_NAME","CSO_NAME","STREET","CITY","PHONE","GRADE_RANGE","NUM_TEACH","NUM_NO_VALID_CERT","PER_NO_VALID_CERT","NUM_TEACH_OUT_CERT","PER_TEACH_OUT_CERT","NUM_FEWER_3YRS_EXP","PER_FEWER_3YRS_EXP","NUM_MAS_PLUS","PER_MAS_PLUS","NUM_CORE","PER_NOT_HQ","NUM_CLASS","NUM_NO_APPROP_CERT","PER_NO_APPROP_CERT","PER_TURN_FIVE_YRS","PER_TURN_ALL","NUM_FT_OTH_PROF_STAFF","NUM_PT_OTH_PROF_STAFF","NUM_FT_PARAPROFESSIONALS","NUM_PT_PARAPROFESSIONALS","NUM_FT_ASST_PRINCIPALS","NUM_PT_ASST_PRINCIPALS","NUM_FT_PRINCIPALS","NUM_PT_PRINCIPALS"
"110901040000","MARATHON CENTRAL SCHOOL DISTRICT",2012,"11090104","MARATHON CSD","REBECCA STONE","1 E MAIN ST","MARATHON","6078493117","PK-12",69,0,0,1,1,0,0,8,12,175,1,278,5,2,55,13,13,0,18,0,0,0,2,0
"110901040001","MARATHON HIGH SCHOOL",2012,"11090104","MARATHON CSD","DAVID ROSETTI","1 E MAIN ST","MARATHON","6078493251","7-12",35,0,0,1,3,0,0,3,9,116,2,178,5,3,40,11,4,0,0,0,0,0,1,0
"121901040002","WALTON HIGH SCHOOL",2014,"12190104","WALTON CSD","K MICHAEL SNIDER","47-49 STOCKTON AVE","WALTON","6078654116","9-12, US",18,0,0,1,6,0,0,2,11,68,3,107,2,2,0,7,2,0,0,0,0,0,0,0
"121901040003","WALTON MIDDLE SCHOOL",2014,"12190104","WALTON CSD","K MICHAEL SNIDER","47-49 STOCKTON AVE","WALTON","6078654116","6-8",11,0,0,0,0,1,9,0,0,39,0,67,2,3,,25,0,0,0,0,0,0,1,0
"110901040002","WILLIAM APPLEBY ELEMENTARY SCHOOL",2012,"11090104","MARATHON CSD","SHELLEY WARNOW","24 ALBRO RD","MARATHON","6078493281","K-6",32,0,0,0,0,0,0,5,16,51,0,89,0,0,80,16,4,0,0,0,0,0,1,0
"120102040000","ANDES CENTRAL SCHOOL DISTRICT",2012,"12010204","ANDES CSD","ROBERT CHAKAR","85 DELAWARE AVE","ANDES","8456763167","PK-12",24,0,0,2,8,0,0,1,4,64,6,100,10,10,50,8,1,1,6,0,0,0,1,0
"130200010000","BEACON CITY SCHOOL DISTRICT",2014,"13020001","BEACON CITY SD","PAUL DORWARD","10 EDUCATION DR","BEACON","8458386900","PK-12, UE, US",242,0,0,3,1,12,5,22,9,611,0,820,11,1,22,14,34,1,52,3,4,0,6,0
"130200010001","J V FORRESTAL ELEMENTARY SCHOOL",2014,"13020001","BEACON CITY SD","ERIK WRIGHT","125 LIBERTY ST","BEACON","8458386900","PK-5, UE",17,0,0,0,0,0,0,2,12,31,0,33,0,0,,11,0,0,0,0,0,0,1,0
"130200010002","SOUTH AVENUE SCHOOL",2014,"13020001","BEACON CITY SD","CARA CONRAD","60 SOUTH AVE","BEACON","8458386900","PK-5",24,0,0,1,4,1,4,1,4,34,0,44,0,0,,19,0,0,0,0,0,0,1,0
"120301040000","DOWNSVILLE CENTRAL SCHOOL DISTRICT",2012,"12030104","DOWNSVILLE CSD","ROGER ADAMS","14784 STATE HWY 30","DOWNSVILLE","6073632101","PK-12",36,0,0,1,3,3,8,2,6,86,0,135,5,4,11,8,5,0,9,0,0,0,1,0
"120301040001","DOWNSVILLE CENTRAL SCHOOL",2012,"12030104","DOWNSVILLE CSD","TIMOTHY MCNAMARA","14784 STATE HWY 30","DOWNSVILLE","6073632111","K-12",32,0,0,1,3,1,3,2,6,74,0,117,4,3,17,9,5,0,0,0,0,0,1,0
"120401040000","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT",2012,"12040104","CHARLOTTE VALLEY CSD","MARK DUPRA","15611 ST HWY 23","DAVENPORT","6072785511","PK-12, UE, US",40,0,0,1,3,4,10,4,10,82,7,159,10,6,38,17,4,0,18,0,0,0,1,0
"130200010003","GLENHAM SCHOOL",2014,"13020001","BEACON CITY SD","DAWN CONDELLO","20 CHASE DR","FISHKILL","8458386900","PK-5",33,0,0,1,3,3,9,4,12,44,0,59,0,0,60,19,2,0,0,0,0,0,1,0
"130200010004","ROMBOUT MIDDLE SCHOOL",2014,"13020001","BEACON CITY SD","BRIAN SOLTISH","84 MATTEAWAN RD","BEACON","8458386900","6-8, UE, US",61,0,0,0,0,2,3,6,10,211,0,285,0,0,20,13,8,1,0,0,2,0,1,0
"120401040001","CHARLOTTE VALLEY SCHOOL",2012,"12040104","CHARLOTTE VALLEY CSD","MARK DUPRA","15611 ST HWY 23","DAVENPORT","6072785511","K-12, UE, US",40,0,0,1,3,4,10,4,10,82,7,159,10,6,38,17,4,0,0,0,0,0,1,0
"120501040000","DELHI CENTRAL SCHOOL DISTRICT",2012,"12050104","DELHI CSD","JASON THOMSON","2 SHELDON DR","DELHI","6077461300","K-12",79,0,0,1,1,4,5,7,9,197,3,317,5,2,0,5,9,0,27,0,0,0,2,0
"130200010005","BEACON HIGH SCHOOL",2014,"13020001","BEACON CITY SD","JOHN SIEVERDING","101 MATTEAWAN RD","BEACON","8458386900","9-12, US",74,0,0,1,1,5,7,7,9,239,0,318,11,3,11,11,8,0,0,0,2,0,1,0
"130200010006","SARGENT SCHOOL",2014,"13020001","BEACON CITY SD","TARKAN CENG","29 EDUCATION DR","BEACON","8458386900","PK-5",24,0,0,0,0,0,0,2,8,32,0,46,0,0,0,12,2,0,0,0,0,0,1,0
"130502020000","DOVER UNION FREE SCHOOL DISTRICT",2014,"13050202","DOVER UFSD","MICHAEL TIERNEY","2368 RT 22","DOVER PLAINS","8458775700","PK-12, UE, US",113,0,0,1,1,3,3,15,13,282,1,374,9,2,0,11,15,0,41,1,1,0,4,0
"120501040001","DELHI ELEMENTARY SCHOOL",2012,"12050104","DELHI CSD","JUDITH BYAM","2 SHELDON DR","DELHI","6077462105","K-5",30,0,0,0,0,1,3,3,10,35,0,63,0,0,,4,2,0,0,0,0,0,1,0
"120501040002","DELAWARE ACADEMY HIGH SCHOOL",2012,"12050104","DELHI CSD","LAURIE ALBERTI","2 SHELDON DR","DELHI","6077461281","9-12",22,0,0,0,0,1,5,1,5,72,7,106,1,1,0,0,2,0,0,0,0,0,0,1
"120501040004","DELHI MIDDLE SCHOOL",2012,"12050104","DELHI CSD","LAURIE ALBERTI","2 SHELDON DR","DELHI","6077461282","6-8",8,0,0,0,0,1,13,1,13,25,0,43,0,0,0,0,0,0,0,0,0,0,0,1
"130502020001","WINGDALE ELEMENTARY SCHOOL",2014,"13050202","DOVER UFSD","CATHERINE ALVAREZ","6413 RT 55","WINGDALE","8458775720","K-2, UE",24,0,0,0,0,1,4,6,25,23,0,30,0,0,,13,2,0,0,0,0,0,1,0
"130502020002","DOVER ELEMENTARY SCHOOL",2014,"13050202","DOVER UFSD","HERMAN HARMELINK","9 SCHOOL ST","DOVER PLAINS","8458775730","3-5, UE",25,0,0,0,0,1,4,3,12,28,0,37,0,0,,8,2,0,0,0,0,0,1,0
"120701040000","FRANKLIN CENTRAL SCHOOL DISTRICT",2012,"12070104","FRANKLIN CSD","GORDON DANIELS","26 INSTITUTE ST","FRANKLIN","6078293551","PK-12",31,0,0,0,0,2,6,4,13,85,1,143,3,2,0,15,4,2,5,2,0,0,0,1
"120701040001","FRANKLIN CENTRAL SCHOOL",2012,"12070104","FRANKLIN CSD","DAVID WHIPPLE","26 INSTITUTE ST","FRANKLIN","6078293025","K-12",31,0,0,0,0,2,6,4,13,85,1,143,3,2,0,15,4,2,0,0,0,0,0,1
"130502020003","DOVER HIGH SCHOOL",2014,"13050202","DOVER UFSD","DANIEL DOHERTY","2368 RT 22","DOVER PLAINS","8458775750","9-12, US",26,0,0,0,0,0,0,2,8,112,0,133,2,2,0,8,5,0,0,0,1,0,1,0
"130502020004","DOVER MIDDLE SCHOOL",2014,"13050202","DOVER UFSD","PATRICIA RIZZO","2368 RT 22","DOVER PLAINS","8458775740","6-8",22,0,0,0,0,1,5,1,5,79,0,107,3,3,0,14,4,0,0,0,0,0,1,0
"130801060000","HYDE PARK CENTRAL SCHOOL DISTRICT",2014,"13080106","HYDE PARK CSD","GREER RYCHCIK","11 BOICE RD","HYDE PARK","8452294005","K-12, UE, US",302,0,0,0,0,19,6,45,15,666,0,1020,2,0,24,12,47,1,112,0,4,0,6,0
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2012,"12090604","HANCOCK CSD","TERRANCE DOUGHERTY","67 EDUCATION LN","HANCOCK","6076371301","PK-12, UE, US",48,0,0,0,0,0,0,4,8,127,0,206,11,5,9,4,6,0,12,2,0,0,1,0
"120906040001","HANCOCK ELEMENTARY SCHOOL",2012,"12090604","HANCOCK CSD","JASON HANS","206 WILDCAT DR","HANCOCK","6076371217","K-4",16,0,0,0,0,0,0,1,6,11,0,34,1,3,0,6,0,0,0,0,0,0,1,0
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2012,"12090604","HANCOCK CSD","CAROL DADDEZIO","67 EDUCATION LN","HANCOCK","6076371306","5-12, UE, US",32,0,0,0,0,0,0,3,9,116,0,172,10,6,13,3,4,0,0,0,0,0,1,0
"130801060002","NETHERWOOD SCHOOL",2014,"13080106","HYDE PARK CSD","RICHARD WERT","648 NETHERWOOD RD","HYDE PARK","8452294055","K-5, UE",26,0,0,0,0,1,4,1,4,22,0,41,0,0,,8,1,0,0,0,0,0,1,0
"130801060003","RALPH R SMITH SCHOOL",2014,"13080106","HYDE PARK CSD","MELISSA LAWSON","16 SMITH CT","HYDE PARK","8452294060","K-5",26,0,0,0,0,4,15,1,4,24,0,39,0,0,50,13,2,0,0,0,0,0,1,0
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2012,"12140104","MARGARETVILLE CSD","ANTHONY ALBANESE","415 MAIN ST","MARGARETVILLE","8455862647","PK-12, UE, US",45,0,0,0,0,2,4,7,16,118,0,158,11,7,0,13,2,0,17,1,0,0,1,0
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2012,"12140104","MARGARETVILLE CSD","LINDA TAYLOR","415 MAIN ST","MARGARETVILLE","8455862647","K-12, UE, US",44,0,0,0,0,2,5,7,16,117,0,157,11,7,0,13,2,0,0,0,0,0,1,0
"130801060005","VIOLET AVENUE SCHOOL",2014,"13080106","HYDE PARK CSD","DEANNA GONZALEZ","191 VIOLET AVE","POUGHKEEPSIE","8454864499","K-5",30,0,0,0,0,1,3,2,7,26,0,39,0,0,0,7,3,0,0,0,0,0,1,0
"130801060006","HAVILAND MIDDLE SCHOOL",2014,"13080106","HYDE PARK CSD","ERIC SHAW","23 HAVILAND RD","HYDE PARK","8452294030","6-8, US",75,0,0,0,0,2,3,13,17,237,0,332,0,0,17,12,7,1,0,0,2,0,1,0
"130801060007","FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL",2014,"13080106","HYDE PARK CSD","BARBARA MARRINE","156 S CROSS RD","HYDE PARK","8452294020","9-12, US",94,0,0,0,0,10,11,18,19,267,0,434,2,0,27,15,17,0,0,0,2,0,1,0
"121502040000","ROXBURY CENTRAL SCHOOL DISTRICT",2012,"12150204","ROXBURY CSD","THOMAS O'BRIEN","53729 NYS RT 30","ROXBURY","6073264151","PK-12, UE, US",41,0,0,0,0,4,10,4,10,100,1,164,5,3,33,11,4,0,20,0,0,0,1,0
"121502040001","ROXBURY CENTRAL SCHOOL",2012,"12150204","ROXBURY CSD","ERIC WINDOVER","53729 NYS RT 30","ROXBURY","6073264151","K-12, UE, US",40,0,0,0,0,3,8,4,10,98,0,162,5,3,33,11,4,0,0,0,0,0,1,0
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2012,"12160106","SIDNEY CSD","WILLIAM CHRISTENSEN","95 W MAIN ST","SIDNEY","6075632135","PK-12, UE, US",94,0,0,0,0,4,4,15,16,243,0,389,9,2,32,27,15,0,4,27,0,0,3,0
"130801060008","NORTH PARK ELEMENTARY SCHOOL",2014,"13080106","HYDE PARK CSD","LISA HECHT","1593 RT 9G","HYDE PARK","8452294040","K-5",32,0,0,0,0,0,0,3,9,29,0,49,0,0,,3,1,0,0,0,0,0,1,0
"131101040000","NORTHEAST CENTRAL SCHOOL DISTRICT",2014,"13110104","NORTHEAST CSD","JAMES GRATTO","194 HAIGHT RD","AMENIA","8453734100","PK-12, UE, US",71,0,0,1,1,2,3,7,10,171,2,264,6,2,0,13,5,0,24,3,0,0,1,0
"121601060002","SIDNEY ELEMENTARY SCHOOL",2012,"12160106","SIDNEY CSD","KATHRYN BAILEY","15 PEARL ST E","SIDNEY","6075632135","K-4",25,0,0,0,0,1,4,8,32,33,0,45,0,0,25,21,2,0,0,0,0,0,1,0
"121601060005","SIDNEY MIDDLE SCHOOL",2012,"12160106","SIDNEY CSD","ROBERT HANSEN","13 PEARL ST E","SIDNEY","6075632135","5-8, US",19,0,0,0,0,1,5,0,0,61,0,88,4,5,29,36,1,0,0,0,0,0,1,0
"131101040004","WEBUTUCK HIGH SCHOOL",2014,"13110104","NORTHEAST CSD","KENNETH SAUER","194 HAIGHT RD","AMENIA","8453734114","9-12, US",16,0,0,1,6,1,6,2,13,50,4,75,3,4,0,13,2,0,0,0,0,0,1,0
"131101040006","WEBUTUCK ELEMENTARY SCHOOL",2014,"13110104","NORTHEAST CSD","KATHLEEN MCENROE","175 HAIGHT RD","AMENIA","8453734122","PK-3, UE",20,0,0,0,0,0,0,0,0,21,0,34,0,0,0,0,2,0,0,0,0,0,0,0
"131101040007","EUGENE BROOKS MIDDLE SCHOOL",2014,"13110104","NORTHEAST CSD","JENNIFER CHASON","194 HAIGHT RD","AMENIA","8453734114","4-8, UE, US",13,0,0,0,0,1,8,0,0,30,3,53,1,2,,21,1,0,0,0,0,0,1,0
"121601060006","SIDNEY HIGH SCHOOL",2012,"12160106","SIDNEY CSD","EBEN BULLOCK","95 W MAIN ST","SIDNEY","6075632135","9-12, UE, US",28,0,0,0,0,1,4,4,14,94,0,150,5,3,38,32,4,0,0,0,0,0,1,0
"121701040000","STAMFORD CENTRAL SCHOOL DISTRICT",2012,"12170104","STAMFORD CSD","WILLIAM LISTER","1 RIVER ST","STAMFORD","6076527301","PK-12",35,0,0,4,11,4,11,3,9,120,3,161,12,7,33,16,5,0,14,1,0,0,1,0
"121701040001","STAMFORD CENTRAL SCHOOL",2012,"12170104","STAMFORD CSD","RUTH EHRETS","1 RIVER ST","STAMFORD","6076527301","K-12",34,0,0,4,12,3,9,3,9,118,3,159,12,8,33,16,4,0,0,0,0,0,1,0
"131201040000","PAWLING CENTRAL SCHOOL DISTRICT",2014,"13120104","PAWLING CSD","WILLIAM WARD","515 RT 22","PAWLING","8458554600","K-12, UE, US",103,0,0,0,0,4,4,26,25,304,0,457,6,1,25,19,13,3,35,0,1,0,3,0
"131201040001","PAWLING ELEMENTARY SCHOOL",2014,"13120104","PAWLING CSD","DEBRA KIRKHUS","7 HAIGHT ST","PAWLING","8458554630","K-4, UE",34,0,0,0,0,0,0,9,26,41,0,67,0,0,,15,3,0,0,0,0,0,1,0
"121702040000","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT",2012,"12170204","SOUTH KORTRIGHT CSD","PATRICIA NORTON-WHITE","58200 STATE HWY 10","SOUTH KORTRIGHT","6075389111","PK-12, UE, US",37,0,0,0,0,0,0,5,14,105,0,142,5,4,20,10,3,0,17,0,0,0,1,0
"121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL",2012,"12170204","SOUTH KORTRIGHT CSD","JOHN BONHOTAL","58200 STATE HWY 10","SOUTH KORTRIGHT","6075389111","K-12, UE, US",37,0,0,0,0,0,0,5,14,105,0,142,5,4,20,10,3,0,0,0,0,0,1,0
"131201040002","PAWLING HIGH SCHOOL",2014,"13120104","PAWLING CSD","HELEN CALLAN","30 WAGNER RD","PAWLING","8458554620","9-12",32,0,0,0,0,4,13,6,19,134,0,176,3,2,25,19,4,1,0,0,0,0,1,0
"131201040003","PAWLING MIDDLE SCHOOL",2014,"13120104","PAWLING CSD","ALLAN LIPSKY","80 WAGNER RD","PAWLING","8458554653","5-8, US",30,0,0,0,0,0,0,9,30,113,0,177,3,2,,18,4,0,0,0,0,0,1,0
"131301040000","PINE PLAINS CENTRAL SCHOOL DISTRICT",2014,"13130104","PINE PLAINS CSD","MARTIN HANDLER","2829 CHURCH ST","PINE PLAINS","5183987181","K-12, UE",92,0,0,0,0,3,3,14,15,221,0,350,3,1,0,11,12,0,20,10,0,0,4,0
"121901040000","WALTON CENTRAL SCHOOL DISTRICT",2012,"12190104","WALTON CSD","THOMAS AUSTIN","47-49 STOCKTON AVE","WALTON","6078654116","PK-12, UE",83,0,0,0,0,1,1,8,10,169,0,254,6,2,38,24,9,0,41,0,2,0,2,0
"121901040001","TOWNSEND ELEMENTARY SCHOOL",2012,"12190104","WALTON CSD","KENNETH SNIDER","42-66 NORTH ST","WALTON","6078654116","K-5, UE",41,0,0,0,0,1,2,5,12,41,0,84,0,0,40,11,3,0,0,0,0,0,1,0
"121901040002","WALTON HIGH SCHOOL",2012,"12190104","WALTON CSD","MICHAEL MACDONALD","47-49 STOCKTON AVE","WALTON","6078654116","9-12",15,0,0,0,0,0,0,1,7,38,0,47,1,2,33,43,2,0,0,0,0,0,0,0
"131301040001","SEYMOUR SMITH INTERMEDIATE LEARNING CENTER",2014,"13130104","PINE PLAINS CSD","RICHARD AZOFF","41 ACADEMY ST","PINE PLAINS","5183983000","3-5",17,0,0,0,0,0,0,3,18,26,0,37,0,0,,20,1,0,0,0,0,0,1,0
"131301040002","STISSING MOUNTAIN HIGH SCHOOL",2014,"13130104","PINE PLAINS CSD","TARA SHERMAN","2829 CHURCH ST","PINE PLAINS","5183987181","9-12",25,0,0,0,0,0,0,2,8,92,0,128,2,2,0,4,0,0,0,0,0,0,1,0
"121901040003","WALTON MIDDLE SCHOOL",2012,"12190104","WALTON CSD","MICHAEL MACDONALD","47-49 STOCKTON AVE","WALTON","6078654116","6-8",8,0,0,0,0,0,0,0,0,34,0,43,2,5,,43,1,0,0,0,0,0,0,0
"130200010000","BEACON CITY SCHOOL DISTRICT",2012,"13020001","BEACON CITY SD","HARVEY HILBURGH","10 EDUCATION DR","BEACON","8458386900","PK-12, UE, US",241,0,0,4,2,12,5,23,10,615,1,852,14,2,18,15,46,0,6,4,4,0,6,0
"131301040003","COLD SPRING EARLY LEARNING CENTER",2014,"13130104","PINE PLAINS CSD","JAMES GLYNN","358 HOMAN RD","STANFORDVILLE","8458687451","K-2",17,0,0,0,0,0,0,4,24,19,0,34,0,0,,6,1,0,0,0,0,0,1,0
"131301040004","STISSING MOUNTAIN MIDDLE SCHOOL",2014,"13130104","PINE PLAINS CSD","JAMES DIDONNA","2829 CHURCH ST","PINE PLAINS","5183987181","6-8, UE",20,0,0,0,0,3,15,3,15,67,0,98,0,0,0,15,0,0,0,0,0,0,1,0
"131500010000","POUGHKEEPSIE CITY SCHOOL DISTRICT",2014,"13150001","POUGHKEEPSIE CITY SD","NICOLE WILLIAMS","11 COLLEGE AVE","POUGHKEEPSIE","8454514950","PK-12, UE, US",327,0,0,3,1,25,8,68,21,748,0,1072,16,1,19,16,32,0,57,0,7,0,6,0
"130200010001","J V FORRESTAL ELEMENTARY SCHOOL",2012,"13020001","BEACON CITY SD","WANDA GONZALEZ","125 LIBERTY ST","BEACON","8458386900","K-5",19,0,0,0,0,1,5,2,11,29,0,34,0,0,,15,1,0,0,0,0,0,1,0
"130200010002","SOUTH AVENUE SCHOOL",2012,"13020001","BEACON CITY SD","CARA CONRAD","60 SOUTH AVE","BEACON","8458386900","K-5",29,0,0,0,0,0,0,3,10,39,0,47,0,0,,20,3,0,0,0,0,0,1,0
"130200010003","GLENHAM SCHOOL",2012,"13020001","BEACON CITY SD","DAWN CONDELLO","20 CHASE DR","FISHKILL","8458386900","K-5, UE",30,0,0,1,3,2,7,4,13,36,0,52,0,0,0,6,2,0,0,0,0,0,1,0
"131500010001","WARRING MAGNET ACADEMY OF SCIENCE AND TECHNOLOGY",2014,"13150001","POUGHKEEPSIE CITY SD","NADINE DARGAN","283 MANSION ST","POUGHKEEPSIE","8454514750","K-5",28,0,0,0,0,1,4,5,18,31,0,52,0,0,,17,2,0,0,0,0,0,1,0
"131500010003","GOV GEORGE CLINTON SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","NADINE JACKSON-IVEY","100 MONTGOMERY ST","POUGHKEEPSIE","8454514600","1-5",24,0,0,0,0,1,4,4,17,26,0,32,0,0,0,5,2,0,0,0,0,0,1,0
"130200010004","ROMBOUT MIDDLE SCHOOL",2012,"13020001","BEACON CITY SD","PAUL HUGHES","84 MATTEAWAN RD","BEACON","8458386900","6-8, US",57,0,0,2,4,6,11,3,5,208,2,280,6,2,14,21,5,0,0,0,2,0,1,0
"130200010005","BEACON HIGH SCHOOL",2012,"13020001","BEACON CITY SD","JOHN SIEVERDING","101 MATTEAWAN RD","BEACON","8458386900","9-12, US",76,0,0,1,1,2,3,9,12,258,1,366,8,2,27,10,8,0,0,0,2,0,1,0
"131500010006","G W KRIEGER SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","MARGARET PINEIRO","265 HOOKER AVE","POUGHKEEPSIE","8454514660","1-5, UE",39,0,0,0,0,1,3,7,18,54,0,70,0,0,0,9,0,0,0,0,0,0,1,0
"131500010009","MORSE YOUNG MAGNET SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","FELICIA SCHINELLA","101 MANSION ST","POUGHKEEPSIE","8454514690","K-5, UE",39,0,0,1,3,4,10,9,23,41,0,59,2,3,,16,6,0,0,0,0,0,1,0
"131500010010","POUGHKEEPSIE HIGH SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","PHEE SIMPSON","70 FORBUS ST","POUGHKEEPSIE","8454514850","9-12, US",91,0,0,1,1,10,11,25,27,304,0,419,8,2,21,17,8,0,0,0,4,0,1,0
"130200010006","SARGENT SCHOOL",2012,"13020001","BEACON CITY SD","TARKAN CENG","29 EDUCATION DR","BEACON","8458386900","K-5",22,0,0,0,0,0,0,1,5,28,0,40,0,0,0,10,3,0,0,0,0,0,1,0
"130502020000","DOVER UNION FREE SCHOOL DISTRICT",2012,"13050202","DOVER UFSD","MICHAEL TIERNEY","2368 RTE 22","DOVER PLAINS","8458324500","PK-12, UE",113,0,0,0,0,4,4,19,17,286,0,381,8,2,35,19,18,0,34,1,1,0,4,0
"130502020001","WINGDALE ELEMENTARY SCHOOL",2012,"13050202","DOVER UFSD","CATHERINE ALVAREZ","6413 RT 55","WINGDALE","8458324530","K-2",25,0,0,0,0,0,0,8,32,28,0,35,0,0,0,8,2,0,0,0,0,0,1,0
"131500010011","POUGHKEEPSIE MIDDLE SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","DAVID SCOTT","55 COLLEGE AVE","POUGHKEEPSIE","8454514800","6-8, UE, US",88,0,0,1,1,7,8,16,18,270,0,401,6,1,20,11,8,0,0,0,3,0,1,0
"131500010013","COLUMBUS SCHOOL",2014,"13150001","POUGHKEEPSIE CITY SD","ANDREA MORIARTY","12 S PERRY ST","POUGHKEEPSIE","8454514630","PK-K",14,0,0,0,0,0,0,2,14,18,0,25,0,0,0,39,3,0,0,0,0,0,1,0
"130502020002","DOVER ELEMENTARY SCHOOL",2012,"13050202","DOVER UFSD","HERMAN HARMELINK","9 SCHOOL ST","DOVER PLAINS","8458774701","3-5, UE",25,0,0,0,0,0,0,3,12,29,0,39,0,0,25,13,2,0,0,0,0,0,1,0
"130502020003","DOVER HIGH SCHOOL",2012,"13050202","DOVER UFSD","BRIAN TIMM","2368 RT 22","DOVER PLAINS","8458324520","9-12",24,0,0,0,0,2,8,3,13,88,0,118,3,3,75,29,5,1,0,0,1,0,1,0
"131601060000","ARLINGTON CENTRAL SCHOOL DISTRICT",2014,"13160106","ARLINGTON CSD","BRENDAN LYONS","144 TODD HILL RD","LAGRANGEVILLE","8454864460","K-12, UE, US",676,0,0,0,0,25,4,78,12,1527,0,2306,12,1,35,12,90,4,38,137,14,0,12,0
"131601060001","ARTHUR S MAY SCHOOL",2014,"13160106","ARLINGTON CSD","SHERI PRIMEAUX","25 RAYMOND AVE","POUGHKEEPSIE","8454864960","K-5, UE",38,0,0,0,0,0,0,3,8,38,0,69,0,0,0,0,4,0,0,0,0,0,1,0
"131601060002","BEEKMAN SCHOOL",2014,"13160106","ARLINGTON CSD","KATHLEEN LOWELL","201 LIME RIDGE RD","POUGHQUAG","8452271834","K-5",43,0,0,0,0,2,5,2,5,56,0,88,0,0,25,7,4,0,0,0,0,0,1,0
"130502020004","DOVER MIDDLE SCHOOL",2012,"13050202","DOVER UFSD","PATRICIA RIZZO","2368 RT 22","DOVER PLAINS","8458324521","6-8",22,0,0,0,0,0,0,2,9,84,0,108,2,2,0,19,3,0,0,0,0,0,1,0
"130801060000","HYDE PARK CENTRAL SCHOOL DISTRICT",2012,"13080106","HYDE PARK CSD","GREER FISCHER","11 BOICE RD","HYDE PARK","8452294005","K-12, UE, US",309,0,0,1,0,13,4,42,14,674,0,1055,6,1,31,14,38,2,115,2,5,0,7,0
"130801060001","HYDE PARK ELEMENTARY SCHOOL",2012,"13080106","HYDE PARK CSD","WILLIAM FRANDINO","4327 ALBANY POST RD","HYDE PARK","8452294050","K-5, UE",20,0,0,0,0,2,10,0,0,16,0,32,0,0,0,15,1,0,0,0,0,0,1,0
"131601060004","OVERLOOK PRIMARY SCHOOL",2014,"13160106","ARLINGTON CSD","MARGARET MARAIA","11 MAPLEVIEW RD EXT","POUGHKEEPSIE","8454864970","K-2",31,0,0,0,0,2,6,2,6,29,0,42,0,0,50,10,4,0,0,0,0,0,1,0
"131601060005","TRAVER ROAD PRIMARY SCHOOL",2014,"13160106","ARLINGTON CSD","MICAH BROWN","801 TRAVER RD","PLEASANT VALLEY","8456354300","K-2, UE",21,0,0,0,0,2,10,2,10,15,0,25,0,0,50,25,5,0,0,0,0,0,1,0
"130801060002","NETHERWOOD SCHOOL",2012,"13080106","HYDE PARK CSD","RICHARD WERT","648 NETHERWOOD RD","HYDE PARK","8452294055","K-5",22,0,0,0,0,0,0,2,9,24,0,35,1,3,,22,1,0,0,0,0,0,1,0
"130801060003","RALPH R SMITH SCHOOL",2012,"13080106","HYDE PARK CSD","MELISSA LAWSON","16 SMITH CT","HYDE PARK","8452294060","K-5",24,0,0,0,0,2,8,1,4,18,0,31,0,0,33,16,1,1,0,0,0,0,1,0
"131601060007","ARLINGTON MIDDLE SCHOOL",2014,"13160106","ARLINGTON CSD","PAUL HACKETT","601 DUTCHESS TPKE","POUGHKEEPSIE","8454864480","6-8",51,0,0,0,0,0,0,9,18,144,0,239,5,2,50,17,5,0,0,0,1,0,1,0
"131601060008","ARLINGTON HIGH SCHOOL",2014,"13160106","ARLINGTON CSD","PAUL FANUELE","1157 RT 55","LAGRANGEVILLE","8454864860","9-12, US",193,0,0,0,0,7,4,28,15,619,0,904,0,0,38,10,28,1,0,0,8,0,1,0
"131601060010","WEST ROAD/D'AQUANNIS INTERMEDIATE SCHOOL",2014,"13160106","ARLINGTON CSD","HEATHER OGBORN","181 WEST RD","PLEASANT VALLEY","8456354310","3-5, UE",30,0,0,0,0,1,3,2,7,37,0,64,0,0,0,3,2,0,0,0,0,0,1,0
"130801060005","VIOLET AVENUE SCHOOL",2012,"13080106","HYDE PARK CSD","DEANNA GONZALEZ","191 VIOLET AVE","POUGHKEEPSIE","8454864499","K-5",26,0,0,0,0,0,0,2,8,22,0,37,0,0,50,11,1,0,0,0,0,0,1,0
