"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","Completers","HSGraduates","RegentsDiplomas","PER_RegDipl","RegDipAdvDesig","PER_RegDipAdvDesig","RegDipCTE","PER_RegDipCTE","LocalDiplomas","PER_LocDip","CommCred","PER_CommCred"
"261600010103","LEADERSHIP ACADEMY FOR YOUNG MEN (THE)",2012,"General Education",,"0","0",,"0",,,,,,,
"261600010103","LEADERSHIP ACADEMY FOR YOUNG MEN (THE)",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"580203020000","BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT",2012,"All Students",,"309","278","90","160","52",,,,,,
"580203020000","BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT",2012,"General Education",,"243","243","100","157","65",,,,,,
"580203020000","BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities",,"66","35","53","3","05",,,,,,
"580201060005","WARD MELVILLE SENIOR HIGH SCHOOL",2012,"All Students",,"585","566","97","382","65",,,,,,
"580201060005","WARD MELVILLE SENIOR HIGH SCHOOL",2012,"General Education",,"524","524","100","373","71",,,,,,
"580201060005","WARD MELVILLE SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"61","42","69","9","15",,,,,,
"541001040000","MIDDLEBURGH CENTRAL SCHOOL DISTRICT",2012,"All Students",,"57","56","98","18","32",,,,,,
"541001040000","MIDDLEBURGH CENTRAL SCHOOL DISTRICT",2012,"General Education",,"52","52","100","18","35",,,,,,
"541001040000","MIDDLEBURGH CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"5","4","80","0","00",,,,,,
"541102060000","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"122","117","96","50","41",,,,,,
"541102060000","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"117","116","99","50","43",,,,,,
"541102060000","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"5","1","20","0","00",,,,,,
"541102060002","COBLESKILL-RICHMONDVILLE HIGH SCHOOL",2012,"All Students",,"119","115","97","50","42",,,,,,
"541102060002","COBLESKILL-RICHMONDVILLE HIGH SCHOOL",2012,"General Education",,"115","114","99","50","43",,,,,,
"541102060002","COBLESKILL-RICHMONDVILLE HIGH SCHOOL",2012,"Students with Disabilities",,"4","1","25","0","00",,,,,,
"540901040000","JEFFERSON CENTRAL SCHOOL DISTRICT",2012,"All Students",,"17","17","100","4","24",,,,,,
"540901040000","JEFFERSON CENTRAL SCHOOL DISTRICT",2012,"General Education",,"17","17","100","4","24",,,,,,
"540901040000","JEFFERSON CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"540901040001","JEFFERSON CENTRAL SCHOOL",2012,"All Students",,"17","17","100","4","24",,,,,,
"540901040001","JEFFERSON CENTRAL SCHOOL",2012,"General Education",,"17","17","100","4","24",,,,,,
"540901040001","JEFFERSON CENTRAL SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"280203030010","W TRESPER CLARKE HIGH SCHOOL",2012,"All Students",,"227","219","96","143","63",,,,,,
"280203030010","W TRESPER CLARKE HIGH SCHOOL",2012,"General Education",,"221","214","97","141","64",,,,,,
"280203030010","W TRESPER CLARKE HIGH SCHOOL",2012,"Students with Disabilities",,"6","5","83","2","33",,,,,,
"261901060000","WEBSTER CENTRAL SCHOOL DISTRICT",2012,"All Students",,"715","683","96","401","56",,,,,,
"261901060000","WEBSTER CENTRAL SCHOOL DISTRICT",2012,"General Education",,"647","635","98","395","61",,,,,,
"261901060000","WEBSTER CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"68","48","71","6","09",,,,,,
"222000010016","WATERTOWN SENIOR HIGH SCHOOL",2012,"All Students",,"228","208","91","65","29",,,,,,
"222000010016","WATERTOWN SENIOR HIGH SCHOOL",2012,"General Education",,"202","196","97","65","32",,,,,,
"222000010016","WATERTOWN SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"26","12","46","0","00",,,,,,
"221301040000","LYME CENTRAL SCHOOL DISTRICT",2012,"All Students",,"36","35","97","9","25",,,,,,
"221301040000","LYME CENTRAL SCHOOL DISTRICT",2012,"General Education",,"32","31","97","8","25",,,,,,
"221301040000","LYME CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"4","4","100","1","25",,,,,,
"221301040001","LYME CENTRAL SCHOOL",2012,"All Students",,"36","35","97","9","25",,,,,,
"221301040001","LYME CENTRAL SCHOOL",2012,"General Education",,"32","31","97","8","25",,,,,,
"221301040001","LYME CENTRAL SCHOOL",2012,"Students with Disabilities",,"4","4","100","1","25",,,,,,
"333200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #32",2012,"All Students",,"496","386","78","40","08",,,,,,
"333200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #32",2012,"General Education",,"445","370","83","40","09",,,,,,
"333200010000","NEW YORK CITY GEOGRAPHIC DISTRICT #32",2012,"Students with Disabilities",,"51","16","31","0","00",,,,,,
"441101040000","MINISINK VALLEY CENTRAL SCHOOL DISTRICT",2012,"All Students",,"352","319","91","134","38",,,,,,
"441101040000","MINISINK VALLEY CENTRAL SCHOOL DISTRICT",2012,"General Education",,"322","313","97","132","41",,,,,,
"441101040000","MINISINK VALLEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"30","6","20","2","07",,,,,,
"441101040001","MINISINK VALLEY HIGH SCHOOL",2012,"All Students",,"347","319","92","134","39",,,,,,
"441101040001","MINISINK VALLEY HIGH SCHOOL",2012,"General Education",,"322","313","97","132","41",,,,,,
"441101040001","MINISINK VALLEY HIGH SCHOOL",2012,"Students with Disabilities",,"25","6","24","2","08",,,,,,
"421001060000","FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT",2012,"All Students",,"391","385","98","301","77",,,,,,
"421001060000","FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT",2012,"General Education",,"370","367","99","296","80",,,,,,
"421001060000","FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"21","18","86","5","24",,,,,,
"421001060002","FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL",2012,"All Students",,"389","383","98","301","77",,,,,,
"421001060002","FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL",2012,"General Education",,"369","366","99","296","80",,,,,,
"421001060002","FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"20","17","85","5","25",,,,,,
"411501060000","NEW HARTFORD CENTRAL SCHOOL DISTRICT",2012,"All Students",,"199","189","95","94","47",,,,,,
"411501060000","NEW HARTFORD CENTRAL SCHOOL DISTRICT",2012,"General Education",,"182","179","98","94","52",,,,,,
"411501060000","NEW HARTFORD CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"17","10","59","0","00",,,,,,
"411501060001","NEW HARTFORD SENIOR HIGH SCHOOL",2012,"All Students",,"193","186","96","94","49",,,,,,
"411501060001","NEW HARTFORD SENIOR HIGH SCHOOL",2012,"General Education",,"179","176","98","94","53",,,,,,
"411501060001","NEW HARTFORD SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"14","10","71","0","00",,,,,,
"411101060000","CLINTON CENTRAL SCHOOL DISTRICT",2012,"All Students",,"145","141","97","84","58",,,,,,
"411101060000","CLINTON CENTRAL SCHOOL DISTRICT",2012,"General Education",,"129","129","100","82","64",,,,,,
"411101060000","CLINTON CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"16","12","75","2","13",,,,,,
"411101060005","CLINTON SENIOR HIGH SCHOOL",2012,"All Students",,"141","137","97","84","60",,,,,,
"411101060005","CLINTON SENIOR HIGH SCHOOL",2012,"General Education",,"127","127","100","82","65",,,,,,
"411101060005","CLINTON SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"14","10","71","2","14",,,,,,
"410401060005","ADIRONDACK HIGH SCHOOL",2012,"All Students",,"97","89","92","31","32",,,,,,
"410401060005","ADIRONDACK HIGH SCHOOL",2012,"General Education",,"91","87","96","31","34",,,,,,
"410401060005","ADIRONDACK HIGH SCHOOL",2012,"Students with Disabilities",,"6","2","33","0","00",,,,,,
"353100010049","IS 49 BERTHA A DREYFUS",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"261101060004","HILTON HIGH SCHOOL",2012,"All Students",,"356","347","97","176","49",,,,,,
"261101060004","HILTON HIGH SCHOOL",2012,"General Education",,"327","326","100","175","54",,,,,,
"261101060004","HILTON HIGH SCHOOL",2012,"Students with Disabilities",,"29","21","72","1","03",,,,,,
"651402040000","WILLIAMSON CENTRAL SCHOOL DISTRICT",2012,"All Students",,"112","99","88","58","52",,,,,,
"651402040000","WILLIAMSON CENTRAL SCHOOL DISTRICT",2012,"General Education",,"98","95","97","58","59",,,,,,
"651402040000","WILLIAMSON CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"14","4","29","0","00",,,,,,
"331400860946","BELIEVE SOUTHSIDE CHARTER HIGH SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"331400860946","BELIEVE SOUTHSIDE CHARTER HIGH SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"331400860946","BELIEVE SOUTHSIDE CHARTER HIGH SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"331700860879","ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"331700860879","ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"331700860879","ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"310500860883","KIPP INFINITY CHARTER SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"310500860883","KIPP INFINITY CHARTER SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"310500860883","KIPP INFINITY CHARTER SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"331400860885","WILLIAMSBURG COLLEGIATE CHARTER SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"331400860885","WILLIAMSBURG COLLEGIATE CHARTER SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"331400860885","WILLIAMSBURG COLLEGIATE CHARTER SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"140207060006","SWEET HOME SENIOR HIGH SCHOOL",2012,"All Students",,"308","296","96","124","40",,,,,,
"140207060006","SWEET HOME SENIOR HIGH SCHOOL",2012,"General Education",,"284","283","100","122","43",,,,,,
"140207060006","SWEET HOME SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"24","13","54","2","08",,,,,,
"140301030000","EAST AURORA UNION FREE SCHOOL DISTRICT",2012,"All Students",,"171","166","97","121","71",,,,,,
"140301030000","EAST AURORA UNION FREE SCHOOL DISTRICT",2012,"General Education",,"154","153","99","115","75",,,,,,
"140301030000","EAST AURORA UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities",,"17","13","76","6","35",,,,,,
"140301030005","EAST AURORA HIGH SCHOOL",2012,"All Students",,"170","165","97","121","71",,,,,,
"140301030005","EAST AURORA HIGH SCHOOL",2012,"General Education",,"153","152","99","115","75",,,,,,
"140301030005","EAST AURORA HIGH SCHOOL",2012,"Students with Disabilities",,"17","13","76","6","35",,,,,,
"130200010005","BEACON HIGH SCHOOL",2012,"All Students",,"206","177","86","57","28",,,,,,
"130200010005","BEACON HIGH SCHOOL",2012,"General Education",,"178","168","94","56","31",,,,,,
"130200010005","BEACON HIGH SCHOOL",2012,"Students with Disabilities",,"28","9","32","1","04",,,,,,
"460801060000","CENTRAL SQUARE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"346","320","92","129","37",,,,,,
"460801060000","CENTRAL SQUARE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"312","306","98","127","41",,,,,,
"460801060000","CENTRAL SQUARE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"34","14","41","2","06",,,,,,
"431301060000","PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT",2012,"All Students",,"113","108","96","71","63",,,,,,
"431301060000","PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT",2012,"General Education",,"104","103","99","70","67",,,,,,
"431301060000","PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"9","5","56","1","11",,,,,,
"431301060004","MIDLAKES HIGH SCHOOL",2012,"All Students",,"113","108","96","71","63",,,,,,
"431301060004","MIDLAKES HIGH SCHOOL",2012,"General Education",,"104","103","99","70","67",,,,,,
"431301060004","MIDLAKES HIGH SCHOOL",2012,"Students with Disabilities",,"9","5","56","1","11",,,,,,
"420401060005","EAST SYRACUSE-MINOA CENTRAL HIGH SCHOOL",2012,"All Students",,"281","256","91","122","43",,,,,,
"420401060005","EAST SYRACUSE-MINOA CENTRAL HIGH SCHOOL",2012,"General Education",,"243","239","98","120","49",,,,,,
"420401060005","EAST SYRACUSE-MINOA CENTRAL HIGH SCHOOL",2012,"Students with Disabilities",,"38","17","45","2","05",,,,,,
"420401060000","EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT",2012,"All Students",,"288","258","90","122","42",,,,,,
"420401060000","EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT",2012,"General Education",,"249","241","97","120","48",,,,,,
"420401060000","EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"39","17","44","2","05",,,,,,
"310200010416","ELEANOR ROOSEVELT HIGH SCHOOL",2012,"All Students",,"134","134","100","114","85",,,,,,
"310200010416","ELEANOR ROOSEVELT HIGH SCHOOL",2012,"General Education",,"132","132","100","113","86",,,,,,
"310200010416","ELEANOR ROOSEVELT HIGH SCHOOL",2012,"Students with Disabilities",,"2","2","100","1","50",,,,,,
"310200010418","MILLENNIUM HIGH SCHOOL",2012,"All Students",,"156","150","96","63","40",,,,,,
"310200010418","MILLENNIUM HIGH SCHOOL",2012,"General Education",,"144","142","99","62","43",,,,,,
"310200010418","MILLENNIUM HIGH SCHOOL",2012,"Students with Disabilities",,"12","8","67","1","08",,,,,,
"342700010137","MS 137 AMERICA'S SCHOOL OF HEROES",2012,"All Students",,"0","0",,"0",,,,,,,
"342700010137","MS 137 AMERICA'S SCHOOL OF HEROES",2012,"General Education",,"0","0",,"0",,,,,,,
"342700010137","MS 137 AMERICA'S SCHOOL OF HEROES",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"320800010302","MS 302 LUISA DESSUS CRUZ",2012,"All Students",,"0","0",,"0",,,,,,,
"320800010302","MS 302 LUISA DESSUS CRUZ",2012,"General Education",,"0","0",,"0",,,,,,,
"320800010302","MS 302 LUISA DESSUS CRUZ",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"310300860871","OPPORTUNITY CHARTER SCHOOL",2012,"All Students",,"27","13","48","0","00",,,,,,
"310300860871","OPPORTUNITY CHARTER SCHOOL",2012,"General Education",,"14","8","57","0","00",,,,,,
"310300860871","OPPORTUNITY CHARTER SCHOOL",2012,"Students with Disabilities",,"13","5","38","0","00",,,,,,
"571502060000","CANISTEO-GREENWOOD CSD",2012,"All Students",,"76","68","89","21","28",,,,,,
"571502060000","CANISTEO-GREENWOOD CSD",2012,"General Education",,"66","64","97","20","30",,,,,,
"571502060000","CANISTEO-GREENWOOD CSD",2012,"Students with Disabilities",,"10","4","40","1","10",,,,,,
"580912060000","EASTPORT-SOUTH MANOR CSD",2012,"All Students",,"287","270","94","136","47",,,,,,
"580912060000","EASTPORT-SOUTH MANOR CSD",2012,"General Education",,"259","257","99","136","53",,,,,,
"580912060000","EASTPORT-SOUTH MANOR CSD",2012,"Students with Disabilities",,"28","13","46","0","00",,,,,,
"332300010514","FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL",2012,"All Students",,"58","47","81","6","10",,,,,,
"332300010514","FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL",2012,"General Education",,"46","42","91","5","11",,,,,,
"332300010514","FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL",2012,"Students with Disabilities",,"12","5","42","1","08",,,,,,
"430501040002","BLOOMFIELD MIDDLE SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"320900011263","VALIDUS PREPARATORY ACADEMY",2012,"All Students",,"70","58","83","0","00",,,,,,
"320900011263","VALIDUS PREPARATORY ACADEMY",2012,"General Education",,"64","56","88","0","00",,,,,,
"320900011263","VALIDUS PREPARATORY ACADEMY",2012,"Students with Disabilities",,"6","2","33","0","00",,,,,,
"342700010210","JHS 210 ELIZABETH BLACKWELL",2012,"All Students",,"0","0",,"0",,,,,,,
"342700010210","JHS 210 ELIZABETH BLACKWELL",2012,"General Education",,"0","0",,"0",,,,,,,
"342700010210","JHS 210 ELIZABETH BLACKWELL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"680801040000","DUNDEE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"54","48","89","7","13",,,,,,
"680801040000","DUNDEE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"49","44","90","7","14",,,,,,
"680801040000","DUNDEE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"5","4","80","0","00",,,,,,
"680601060000","PENN YAN CENTRAL SCHOOL DISTRICT",2012,"All Students",,"138","132","96","53","38",,,,,,
"680601060000","PENN YAN CENTRAL SCHOOL DISTRICT",2012,"General Education",,"125","124","99","52","42",,,,,,
"680601060000","PENN YAN CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"13","8","62","1","08",,,,,,
"680601060001","PENN YAN ACADEMY",2012,"All Students",,"134","130","97","53","40",,,,,,
"680601060001","PENN YAN ACADEMY",2012,"General Education",,"125","124","99","52","42",,,,,,
"680601060001","PENN YAN ACADEMY",2012,"Students with Disabilities",,"9","6","67","1","11",,,,,,
"280506060002","OYSTER BAY HIGH SCHOOL",2012,"All Students",,"112","107","96","62","55",,,,,,
"280506060002","OYSTER BAY HIGH SCHOOL",2012,"General Education",,"103","102","99","62","60",,,,,,
"280506060002","OYSTER BAY HIGH SCHOOL",2012,"Students with Disabilities",,"9","5","56","0","00",,,,,,
"580507060006","CONNETQUOT HIGH SCHOOL",2012,"All Students",,"507","478","94","281","55",,,,,,
"580507060006","CONNETQUOT HIGH SCHOOL",2012,"General Education",,"436","431","99","273","63",,,,,,
"580507060006","CONNETQUOT HIGH SCHOOL",2012,"Students with Disabilities",,"71","47","66","8","11",,,,,,
"580506030007","HAUPPAUGE HIGH SCHOOL",2012,"All Students",,"303","297","98","185","61",,,,,,
"580506030007","HAUPPAUGE HIGH SCHOOL",2012,"General Education",,"284","283","100","184","65",,,,,,
"580506030007","HAUPPAUGE HIGH SCHOOL",2012,"Students with Disabilities",,"19","14","74","1","05",,,,,,
"580505020000","BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT",2012,"All Students",,"186","181","97","129","69",,,,,,
"580505020000","BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT",2012,"General Education",,"164","163","99","129","79",,,,,,
"580505020000","BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities",,"22","18","82","0","00",,,,,,
"580232030002","WILLIAM FLOYD HIGH SCHOOL",2012,"All Students",,"598","540","90","206","34",,,,,,
"580232030002","WILLIAM FLOYD HIGH SCHOOL",2012,"General Education",,"560","530","95","206","37",,,,,,
"580232030002","WILLIAM FLOYD HIGH SCHOOL",2012,"Students with Disabilities",,"38","10","26","0","00",,,,,,
"000047000000","OTSEGO County",2012,"All Students",,"571","516","90","164","29",,,,,,
"000047000000","OTSEGO County",2012,"General Education",,"493","478","97","164","33",,,,,,
"000047000000","OTSEGO County",2012,"Students with Disabilities",,"78","38","49","0","00",,,,,,
"000048000000","PUTNAM County",2012,"All Students",,"1254","1161","93","640","51",,,,,,
"000048000000","PUTNAM County",2012,"General Education",,"1098","1080","98","633","58",,,,,,
"000048000000","PUTNAM County",2012,"Students with Disabilities",,"156","81","52","7","04",,,,,,
"000049000000","RENSSELAER County",2012,"All Students",,"1566","1468","94","601","38",,,,,,
"000049000000","RENSSELAER County",2012,"General Education",,"1377","1345","98","589","43",,,,,,
"000049000000","RENSSELAER County",2012,"Students with Disabilities",,"189","123","65","12","06",,,,,,
"000050000000","ROCKLAND County",2012,"All Students",,"3034","2835","93","1446","48",,,,,,
"000050000000","ROCKLAND County",2012,"General Education",,"2675","2604","97","1416","53",,,,,,
"000050000000","ROCKLAND County",2012,"Students with Disabilities",,"359","231","64","30","08",,,,,,
"000051000000","ST. LAWRENCE County",2012,"All Students",,"1034","967","94","383","37",,,,,,
"000051000000","ST. LAWRENCE County",2012,"General Education",,"914","890","97","372","41",,,,,,
"000051000000","ST. LAWRENCE County",2012,"Students with Disabilities",,"120","77","64","11","09",,,,,,
"000052000000","SARATOGA County",2012,"All Students",,"2545","2422","95","1302","51",,,,,,
"000052000000","SARATOGA County",2012,"General Education",,"2320","2287","99","1291","56",,,,,,
"000052000000","SARATOGA County",2012,"Students with Disabilities",,"225","135","60","11","05",,,,,,
"000053000000","SCHENECTADY County",2012,"All Students",,"1494","1364","91","606","41",,,,,,
"000053000000","SCHENECTADY County",2012,"General Education",,"1366","1313","96","602","44",,,,,,
"000053000000","SCHENECTADY County",2012,"Students with Disabilities",,"128","51","40","4","03",,,,,,
"000054000000","SCHOHARIE County",2012,"All Students",,"320","301","94","109","34",,,,,,
"000054000000","SCHOHARIE County",2012,"General Education",,"291","289","99","109","37",,,,,,
"000054000000","SCHOHARIE County",2012,"Students with Disabilities",,"29","12","41","0","00",,,,,,
"000055000000","SCHUYLER County",2012,"All Students",,"160","150","94","52","33",,,,,,
"000055000000","SCHUYLER County",2012,"General Education",,"148","146","99","52","35",,,,,,
"000055000000","SCHUYLER County",2012,"Students with Disabilities",,"12","4","33","0","00",,,,,,
"000056000000","SENECA County",2012,"All Students",,"331","300","91","112","34",,,,,,
"000056000000","SENECA County",2012,"General Education",,"299","287","96","110","37",,,,,,
"000056000000","SENECA County",2012,"Students with Disabilities",,"32","13","41","2","06",,,,,,
"000057000000","STEUBEN County",2012,"All Students",,"1187","1044","88","412","35",,,,,,
"000057000000","STEUBEN County",2012,"General Education",,"1052","1009","96","409","39",,,,,,
"000057000000","STEUBEN County",2012,"Students with Disabilities",,"135","35","26","3","02",,,,,,
"000058000000","SUFFOLK County",2012,"All Students",,"18976","17802","94","9143","48",,,,,,
"000058000000","SUFFOLK County",2012,"General Education",,"16823","16524","98","8966","53",,,,,,
"000058000000","SUFFOLK County",2012,"Students with Disabilities",,"2153","1278","59","177","08",,,,,,
"000059000000","SULLIVAN County",2012,"All Students",,"739","646","87","215","29",,,,,,
"000059000000","SULLIVAN County",2012,"General Education",,"678","620","91","215","32",,,,,,
"000059000000","SULLIVAN County",2012,"Students with Disabilities",,"61","26","43","0","00",,,,,,
"000060000000","TIOGA County",2012,"All Students",,"523","498","95","200","38",,,,,,
"000060000000","TIOGA County",2012,"General Education",,"484","476","98","198","41",,,,,,
"000060000000","TIOGA County",2012,"Students with Disabilities",,"39","22","56","2","05",,,,,,
"000061000000","TOMPKINS County",2012,"All Students",,"889","817","92","360","40",,,,,,
"000061000000","TOMPKINS County",2012,"General Education",,"786","762","97","353","45",,,,,,
"000061000000","TOMPKINS County",2012,"Students with Disabilities",,"103","55","53","7","07",,,,,,
"000062000000","ULSTER County",2012,"All Students",,"1857","1677","90","674","36",,,,,,
"000062000000","ULSTER County",2012,"General Education",,"1612","1563","97","667","41",,,,,,
"000062000000","ULSTER County",2012,"Students with Disabilities",,"245","114","47","7","03",,,,,,
"000063000000","WARREN County",2012,"All Students",,"777","736","95","343","44",,,,,,
"000063000000","WARREN County",2012,"General Education",,"703","697","99","340","48",,,,,,
"000063000000","WARREN County",2012,"Students with Disabilities",,"74","39","53","3","04",,,,,,
"000064000000","WASHINGTON County",2012,"All Students",,"640","586","92","201","31",,,,,,
"000064000000","WASHINGTON County",2012,"General Education",,"566","549","97","200","35",,,,,,
"000064000000","WASHINGTON County",2012,"Students with Disabilities",,"74","37","50","1","01",,,,,,
"000065000000","WAYNE County",2012,"All Students",,"1172","1064","91","485","41",,,,,,
"000065000000","WAYNE County",2012,"General Education",,"1050","1010","96","480","46",,,,,,
"000065000000","WAYNE County",2012,"Students with Disabilities",,"122","54","44","5","04",,,,,,
"000066000000","WESTCHESTER County",2012,"All Students",,"9995","9161","92","3159","32",,,,,,
"000066000000","WESTCHESTER County",2012,"General Education",,"8853","8482","96","3108","35",,,,,,
"000066000000","WESTCHESTER County",2012,"Students with Disabilities",,"1142","679","59","51","04",,,,,,
"000067000000","WYOMING County",2012,"All Students",,"337","310","92","119","35",,,,,,
"000067000000","WYOMING County",2012,"General Education",,"300","295","98","119","40",,,,,,
"000067000000","WYOMING County",2012,"Students with Disabilities",,"37","15","41","0","00",,,,,,
"000068000000","YATES County",2012,"All Students",,"192","180","94","60","31",,,,,,
"000068000000","YATES County",2012,"General Education",,"174","168","97","59","34",,,,,,
"000068000000","YATES County",2012,"Students with Disabilities",,"18","12","67","1","06",,,,,,
"000000000007","Charter Schools",2012,"All Students",,"1217","1069","88","130","11",,,,,,
"000000000007","Charter Schools",2012,"General Education",,"1059","992","94","129","12",,,,,,
"000000000007","Charter Schools",2012,"Students with Disabilities",,"158","77","49","1","01",,,,,,
"000035000000","RICHMOND County",2012,"All Students",,"3539","3170","90","1050","30",,,,,,
"000035000000","RICHMOND County",2012,"General Education",,"3122","2992","96","1042","33",,,,,,
"000035000000","RICHMOND County",2012,"Students with Disabilities",,"417","178","43","8","02",,,,,,
"000033000000","KINGS County",2012,"All Students",,"16770","14452","86","3741","22",,,,,,
"000033000000","KINGS County",2012,"General Education",,"15393","13917","90","3707","24",,,,,,
"000033000000","KINGS County",2012,"Students with Disabilities",,"1377","535","39","34","02",,,,,,
"000031000000","NEW YORK County",2012,"All Students",,"12606","11307","90","3080","24",,,,,,
"000031000000","NEW YORK County",2012,"General Education",,"11576","10783","93","3049","26",,,,,,
"000031000000","NEW YORK County",2012,"Students with Disabilities",,"1030","524","51","31","03",,,,,,
"000032000000","BRONX County",2012,"All Students",,"10218","8479","83","1588","16",,,,,,
"000032000000","BRONX County",2012,"General Education",,"9130","8074","88","1569","17",,,,,,
"000032000000","BRONX County",2012,"Students with Disabilities",,"1088","405","37","19","02",,,,,,
"000034000000","QUEENS County",2012,"All Students",,"15867","14024","88","3939","25",,,,,,
"000034000000","QUEENS County",2012,"General Education",,"14676","13546","92","3893","27",,,,,,
"000034000000","QUEENS County",2012,"Students with Disabilities",,"1191","478","40","46","04",,,,,,
"140600010119","WATERFRONT SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"140600010119","WATERFRONT SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"140600010119","WATERFRONT SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"140600010128","LEONARDO DA VINCI HIGH SCHOOL",2012,"All Students",,"89","85","96","11","12",,,,,,
"140600010128","LEONARDO DA VINCI HIGH SCHOOL",2012,"General Education",,"84","83","99","11","13",,,,,,
"140600010128","LEONARDO DA VINCI HIGH SCHOOL",2012,"Students with Disabilities",,"5","2","40","0","00",,,,,,
"140600010107","LAFAYETTE HIGH SCHOOL",2012,"All Students",,"67","52","78","0","00",,,,,,
