"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","DROPOUT","PER_DROPOUT","EQUIV","PER_EQUIV","TOTALNON","PER_TOTALNON","TOTAL_ENROLLMENT_BASE"
"590501060002","FALLSBURG JUNIOR SENIOR HIGH SCHOOL",2012,"Students with Disabilities","2","03","0","00","2","03",60
"581012020000","MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT",2012,"All Students","6","01","0","00","6","01",556
"581012020000","MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT",2012,"General Education","4","01","0","00","4","01",475
"581012020000","MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","2","02","0","00","2","02",81
"581012020001","MATTITUCK JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","6","01","0","00","6","01",548
"581012020001","MATTITUCK JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","4","01","0","00","4","01",475
"581012020001","MATTITUCK JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","2","03","0","00","2","03",73
"580505020004","BAYPORT-BLUE POINT HIGH SCHOOL",2012,"All Students","2","00","0","00","2","00",767
"580505020004","BAYPORT-BLUE POINT HIGH SCHOOL",2012,"General Education","2","00","0","00","2","00",664
"580505020004","BAYPORT-BLUE POINT HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",103
"580506030000","HAUPPAUGE UNION FREE SCHOOL DISTRICT",2012,"All Students","6","00","0","00","6","00",1404
"580506030000","HAUPPAUGE UNION FREE SCHOOL DISTRICT",2012,"General Education","3","00","0","00","3","00",1248
"580506030000","HAUPPAUGE UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","3","02","0","00","3","02",156
"580504030004","SAYVILLE HIGH SCHOOL",2012,"All Students","3","00","0","00","3","00",1079
"580504030004","SAYVILLE HIGH SCHOOL",2012,"General Education","3","00","0","00","3","00",962
"580504030004","SAYVILLE HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",117
"580503030006","EAST ISLIP HIGH SCHOOL",2012,"All Students","27","02","0","00","27","02",1580
"580503030006","EAST ISLIP HIGH SCHOOL",2012,"General Education","24","02","0","00","24","02",1410
"580503030006","EAST ISLIP HIGH SCHOOL",2012,"Students with Disabilities","3","02","0","00","3","02",170
"580212060005","LONGWOOD HIGH SCHOOL",2012,"All Students","89","03","1","00","90","03",2845
"580212060005","LONGWOOD HIGH SCHOOL",2012,"General Education","68","03","0","00","68","03",2391
"580212060005","LONGWOOD HIGH SCHOOL",2012,"Students with Disabilities","21","05","1","00","22","05",454
"580212060006","LONGWOOD JUNIOR HIGH SCHOOL",2012,"All Students","8","160","0","00","8","160",5
"580212060006","LONGWOOD JUNIOR HIGH SCHOOL",2012,"General Education","0",,"0",,"0",,0
"580212060006","LONGWOOD JUNIOR HIGH SCHOOL",2012,"Students with Disabilities","3","60","0","00","3","60",5
"571800010000","HORNELL CITY SCHOOL DISTRICT",2012,"All Students","18","03","0","00","18","03",522
"571800010000","HORNELL CITY SCHOOL DISTRICT",2012,"General Education","13","03","0","00","13","03",414
"571800010000","HORNELL CITY SCHOOL DISTRICT",2012,"Students with Disabilities","5","05","0","00","5","05",108
"571800010006","HORNELL SENIOR HIGH SCHOOL",2012,"All Students","15","04","0","00","15","04",380
"571800010006","HORNELL SENIOR HIGH SCHOOL",2012,"General Education","11","04","0","00","11","04",306
"571800010006","HORNELL SENIOR HIGH SCHOOL",2012,"Students with Disabilities","4","05","0","00","4","05",74
"521401040007","SOUTH GLENS FALLS SENIOR HIGH SCHOOL",2012,"All Students","10","01","25","02","35","03",1018
"521401040007","SOUTH GLENS FALLS SENIOR HIGH SCHOOL",2012,"General Education","6","01","19","02","25","03",897
"521401040007","SOUTH GLENS FALLS SENIOR HIGH SCHOOL",2012,"Students with Disabilities","4","03","6","05","10","08",121
"610600010017","ITHACA SENIOR HIGH SCHOOL",2012,"All Students","24","02","7","00","31","02",1414
"610600010017","ITHACA SENIOR HIGH SCHOOL",2012,"General Education","17","01","6","00","23","02",1220
"610600010017","ITHACA SENIOR HIGH SCHOOL",2012,"Students with Disabilities","7","04","1","01","8","04",194
"610600010019","LEHMAN ALTERNATIVE COMMUNITY SCHOOL",2012,"All Students","8","05","1","01","9","05",174
"610600010019","LEHMAN ALTERNATIVE COMMUNITY SCHOOL",2012,"General Education","7","05","1","01","8","05",148
"610600010019","LEHMAN ALTERNATIVE COMMUNITY SCHOOL",2012,"Students with Disabilities","1","04","0","00","1","04",26
"580801060014","SMITHTOWN HIGH SCHOOL EAST",2012,"All Students","8","00","0","00","8","00",1756
"580801060014","SMITHTOWN HIGH SCHOOL EAST",2012,"General Education","4","00","0","00","4","00",1553
"580801060014","SMITHTOWN HIGH SCHOOL EAST",2012,"Students with Disabilities","4","02","0","00","4","02",203
"580603020000","LITTLE FLOWER UNION FREE SCHOOL DISTRICT",2012,"All Students","0","00","0","00","0","00",24
"580603020000","LITTLE FLOWER UNION FREE SCHOOL DISTRICT",2012,"General Education","0",,"0",,"0",,0
"580603020000","LITTLE FLOWER UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",23
"580603020001","LITTLE FLOWER SCHOOL",2012,"All Students","0","00","0","00","0","00",24
"580603020001","LITTLE FLOWER SCHOOL",2012,"General Education","0",,"0",,"0",,0
"580603020001","LITTLE FLOWER SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",23
"580701020000","SHELTER ISLAND UNION FREE SCHOOL DISTRICT",2012,"All Students","0","00","0","00","0","00",86
"580701020000","SHELTER ISLAND UNION FREE SCHOOL DISTRICT",2012,"General Education","0","00","0","00","0","00",70
"580701020000","SHELTER ISLAND UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",16
"321100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #11",2012,"All Students","637","06","80","01","717","07",10094
"321100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #11",2012,"General Education","433","06","58","01","491","07",7426
"321100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #11",2012,"Students with Disabilities","204","08","22","01","226","08",2668
"342700011650","HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE",2012,"All Students","9","01","0","00","9","01",918
"342700011650","HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE",2012,"General Education","8","01","0","00","8","01",866
"342700011650","HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE",2012,"Students with Disabilities","1","02","0","00","1","02",52
"320800011332","HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH",2012,"All Students","25","08","3","01","28","08",332
"320800011332","HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH",2012,"General Education","21","08","2","01","23","09",267
"320800011332","HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH",2012,"Students with Disabilities","4","06","1","02","5","08",65
"320700011334","INTERNATIONAL COMMUNITY HIGH SCHOOL",2012,"All Students","30","08","3","01","33","08",390
"320700011334","INTERNATIONAL COMMUNITY HIGH SCHOOL",2012,"General Education","30","08","3","01","33","09",377
"320700011334","INTERNATIONAL COMMUNITY HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",13
"310500011369","URBAN ASSEMBLY FOR THE PERFORMING ARTS",2012,"All Students","9","02","1","00","10","03",382
"310500011369","URBAN ASSEMBLY FOR THE PERFORMING ARTS",2012,"General Education","6","02","1","00","7","02",320
"310500011369","URBAN ASSEMBLY FOR THE PERFORMING ARTS",2012,"Students with Disabilities","3","05","0","00","3","05",62
"310600011348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",2012,"All Students","3","01","0","00","3","01",356
"310600011348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",2012,"General Education","2","01","0","00","2","01",294
"310600011348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",2012,"Students with Disabilities","1","02","0","00","1","02",62
"342500011285","WORLD JOURNALISM PREPARATORY:  A COLLEGE BOARD SCHOOL",2012,"All Students","7","02","1","00","8","02",343
"342500011285","WORLD JOURNALISM PREPARATORY:  A COLLEGE BOARD SCHOOL",2012,"General Education","6","02","0","00","6","02",279
"342500011285","WORLD JOURNALISM PREPARATORY:  A COLLEGE BOARD SCHOOL",2012,"Students with Disabilities","1","02","1","02","2","03",64
"342800011284","YORK EARLY COLLEGE ACADEMY",2012,"All Students","2","02","0","00","2","02",118
"342800011284","YORK EARLY COLLEGE ACADEMY",2012,"General Education","2","01","0","00","2","01",220
"342800011284","YORK EARLY COLLEGE ACADEMY",2012,"Students with Disabilities","0",,"0",,"0",,0
"342500011281","EAST-WEST SCHOOL OF INTERNATIONAL STUDIES",2012,"All Students","4","01","1","00","5","01",362
"342500011281","EAST-WEST SCHOOL OF INTERNATIONAL STUDIES",2012,"General Education","4","01","0","00","4","01",326
"342500011281","EAST-WEST SCHOOL OF INTERNATIONAL STUDIES",2012,"Students with Disabilities","0","00","1","03","1","03",36
"331400011454","GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS",2012,"All Students","13","03","4","01","17","04",386
"331400011454","GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS",2012,"General Education","8","03","3","01","11","03",316
"331400011454","GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS",2012,"Students with Disabilities","5","07","1","01","6","09",70
"333200011403","ACADEMY FOR ENVIRONMENTAL LEADERSHIP",2012,"All Students","22","06","2","01","24","07",363
"333200011403","ACADEMY FOR ENVIRONMENTAL LEADERSHIP",2012,"General Education","12","04","2","01","14","05",297
"333200011403","ACADEMY FOR ENVIRONMENTAL LEADERSHIP",2012,"Students with Disabilities","10","15","0","00","10","15",66
"411800010000","ROME CITY SCHOOL DISTRICT",2012,"All Students","66","04","13","01","79","05",1643
"411800010000","ROME CITY SCHOOL DISTRICT",2012,"General Education","44","03","7","01","51","04",1321
"411800010000","ROME CITY SCHOOL DISTRICT",2012,"Students with Disabilities","22","07","6","02","28","09",322
"411603040003","SAUQUOIT VALLEY HIGH SCHOOL",2012,"All Students","13","04","0","00","13","04",352
"411603040003","SAUQUOIT VALLEY HIGH SCHOOL",2012,"General Education","9","03","0","00","9","03",319
"411603040003","SAUQUOIT VALLEY HIGH SCHOOL",2012,"Students with Disabilities","4","12","0","00","4","12",33
"411800010020","ROME FREE ACADEMY",2012,"All Students","51","03","12","01","63","04",1566
"411800010020","ROME FREE ACADEMY",2012,"General Education","33","03","7","01","40","03",1289
"411800010020","ROME FREE ACADEMY",2012,"Students with Disabilities","18","06","5","02","23","08",277
"411701040002","REMSEN JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","0","00","0","00","0","00",138
"411701040002","REMSEN JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","0","00","0","00","0","00",119
"411701040002","REMSEN JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",19
"411603040000","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT",2012,"All Students","14","04","0","00","14","04",363
"411603040000","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT",2012,"General Education","10","03","0","00","10","03",321
"411603040000","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","4","10","0","00","4","10",42
"353100010061","IS 61 WILLIAM A MORRIS",2012,"All Students","1","50","0","00","1","50",2
"353100010061","IS 61 WILLIAM A MORRIS",2012,"General Education","0",,"0",,"0",,0
"353100010061","IS 61 WILLIAM A MORRIS",2012,"Students with Disabilities","0",,"0",,"0",,0
"353100010072","IS 72 ROCCO LAURIE",2012,"All Students","3","60","0","00","3","60",5
"353100010072","IS 72 ROCCO LAURIE",2012,"General Education","0",,"0",,"0",,0
"353100010072","IS 72 ROCCO LAURIE",2012,"Students with Disabilities","0",,"0",,"0",,0
"342900011265","EXCELSIOR PREPARATORTY HIGH SCHOOL",2012,"All Students","5","01","2","00","7","02",448
"342900011265","EXCELSIOR PREPARATORTY HIGH SCHOOL",2012,"General Education","2","01","0","00","2","01",378
"342900011265","EXCELSIOR PREPARATORTY HIGH SCHOOL",2012,"Students with Disabilities","3","04","2","03","5","07",70
"331900011502","FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY",2012,"All Students","25","07","1","00","26","07",381
"331900011502","FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY",2012,"General Education","18","06","1","00","19","06",295
"331900011502","FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY",2012,"Students with Disabilities","7","08","0","00","7","08",86
"310200011288","FOOD AND FINANCE HIGH SCHOOL",2012,"All Students","12","03","1","00","13","03",437
"310200011288","FOOD AND FINANCE HIGH SCHOOL",2012,"General Education","7","02","0","00","7","02",351
"310200011288","FOOD AND FINANCE HIGH SCHOOL",2012,"Students with Disabilities","5","06","1","01","6","07",86
"310300011860","FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL",2012,"All Students","21","07","2","01","23","08",300
"310300011860","FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL",2012,"General Education","13","06","2","01","15","06",234
"310300011860","FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL",2012,"Students with Disabilities","8","12","0","00","8","12",66
"320900011517","FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL",2012,"All Students","24","06","2","01","26","07",389
"320900011517","FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL",2012,"General Education","19","06","1","00","20","06",325
"320900011517","FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL",2012,"Students with Disabilities","5","08","1","02","6","09",64
"353100011047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES",2012,"All Students","1","00","0","00","1","00",534
"353100011047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES",2012,"General Education","1","00","0","00","1","00",456
"353100011047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES",2012,"Students with Disabilities","0","00","0","00","0","00",78
"321200011251","EXPLORATIONS ACADEMY",2012,"All Students","44","12","2","01","46","13",361
"321200011251","EXPLORATIONS ACADEMY",2012,"General Education","28","10","1","00","29","11",273
"321200011251","EXPLORATIONS ACADEMY",2012,"Students with Disabilities","16","18","1","01","17","19",88
"331400011322","FOUNDATIONS ACADEMY",2012,"All Students","30","21","2","01","32","23",140
"331400011322","FOUNDATIONS ACADEMY",2012,"General Education","19","22","1","01","20","24",85
"331400011322","FOUNDATIONS ACADEMY",2012,"Students with Disabilities","11","20","1","02","12","22",55
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2012,"All Students","2","01","1","01","3","02",139
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2012,"General Education","2","02","1","01","3","03",112
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",27
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2012,"All Students","3","02","0","00","3","02",161
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2012,"General Education","3","02","0","00","3","02",131
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",30
"070901060000","HORSEHEADS CENTRAL SCHOOL DISTRICT",2012,"All Students","33","03","14","01","47","04",1320
"070901060000","HORSEHEADS CENTRAL SCHOOL DISTRICT",2012,"General Education","19","02","10","01","29","03",1145
"070901060000","HORSEHEADS CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","14","08","4","02","18","10",175
"043501060000","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT",2012,"All Students","21","03","15","02","36","04",804
"043501060000","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT",2012,"General Education","16","02","13","02","29","04",676
"043501060000","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","5","04","2","02","7","05",128
"043200050000","SALAMANCA CITY SCHOOL DISTRICT",2012,"All Students","10","03","17","04","27","07",390
"043200050000","SALAMANCA CITY SCHOOL DISTRICT",2012,"General Education","2","01","14","04","16","05",313
"043200050000","SALAMANCA CITY SCHOOL DISTRICT",2012,"Students with Disabilities","8","10","3","04","11","14",77
"043011020000","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT",2012,"All Students","0","00","0","00","0","00",39
"043011020000","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT",2012,"General Education","0","00","0","00","0","00",29
"043011020000","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",10
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","4","02","0","00","4","02",207
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","3","02","0","00","3","02",184
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","1","04","0","00","1","04",23
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2012,"All Students","16","03","1","00","17","04",460
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2012,"General Education","10","03","0","00","10","03",366
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2012,"Students with Disabilities","6","06","1","01","7","07",94
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","16","04","1","00","17","04",432
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","10","03","0","00","10","03",359
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","6","08","1","01","7","10",73
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT",2012,"All Students","4","02","0","00","4","02",207
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT",2012,"General Education","3","02","0","00","3","02",184
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","1","04","0","00","1","04",23
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students","4","01","0","00","4","01",405
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education","2","01","0","00","2","01",355
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","2","04","0","00","2","04",50
"261501060004","CHURCHVILLE-CHILI SENIOR HIGH SCHOOL",2012,"All Students","6","00","4","00","10","01",1295
"261501060004","CHURCHVILLE-CHILI SENIOR HIGH SCHOOL",2012,"General Education","3","00","2","00","5","00",1133
"261501060004","CHURCHVILLE-CHILI SENIOR HIGH SCHOOL",2012,"Students with Disabilities","3","02","2","01","5","03",162
"280208030000","ROOSEVELT UNION FREE SCHOOL DISTRICT",2012,"All Students","17","02","0","00","17","02",869
"280208030000","ROOSEVELT UNION FREE SCHOOL DISTRICT",2012,"General Education","15","02","0","00","15","02",715
"280208030000","ROOSEVELT UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","2","01","0","00","2","01",154
"280208030005","ROOSEVELT HIGH SCHOOL",2012,"All Students","13","02","0","00","13","02",796
"280208030005","ROOSEVELT HIGH SCHOOL",2012,"General Education","11","02","0","00","11","02",681
"280208030005","ROOSEVELT HIGH SCHOOL",2012,"Students with Disabilities","2","02","0","00","2","02",115
"250109040000","BROOKFIELD CENTRAL SCHOOL DISTRICT",2012,"All Students","0","00","0","00","0","00",78
"250109040000","BROOKFIELD CENTRAL SCHOOL DISTRICT",2012,"General Education","0","00","0","00","0","00",65
"250109040000","BROOKFIELD CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","0","00","0","00","0","00",13
"431401040002","HONEOYE MIDDLE/HIGH SCHOOL",2012,"All Students","7","03","0","00","7","03",257
"431401040002","HONEOYE MIDDLE/HIGH SCHOOL",2012,"General Education","6","03","0","00","6","03",214
"431401040002","HONEOYE MIDDLE/HIGH SCHOOL",2012,"Students with Disabilities","1","02","0","00","1","02",43
"573002040000","WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT",2012,"All Students","7","01","1","00","8","02",488
"573002040000","WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT",2012,"General Education","3","01","1","00","4","01",419
"573002040000","WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","4","06","0","00","4","06",69
"500402060013","CHESTNUT RIDGE MIDDLE SCHOOL",2012,"All Students","1","50","0","00","1","50",2
"500402060013","CHESTNUT RIDGE MIDDLE SCHOOL",2012,"General Education","0",,"0",,"0",,0
"500402060013","CHESTNUT RIDGE MIDDLE SCHOOL",2012,"Students with Disabilities","0",,"0",,"0",,0
"500402060014","SPRING VALLEY HIGH SCHOOL",2012,"All Students","65","05","0","00","65","05",1209
"500402060014","SPRING VALLEY HIGH SCHOOL",2012,"General Education","64","06","0","00","64","06",1039
"500402060014","SPRING VALLEY HIGH SCHOOL",2012,"Students with Disabilities","1","01","0","00","1","01",170
"500402060015","POMONA MIDDLE SCHOOL",2012,"All Students","2","200","0","00","2","200",1
"500402060015","POMONA MIDDLE SCHOOL",2012,"General Education","0",,"0",,"0",,0
"500402060015","POMONA MIDDLE SCHOOL",2012,"Students with Disabilities","0",,"0",,"0",,0
"261301060000","FAIRPORT CENTRAL SCHOOL DISTRICT",2012,"All Students","22","01","1","00","23","01",2268
"261301060000","FAIRPORT CENTRAL SCHOOL DISTRICT",2012,"General Education","10","01","0","00","10","01",1915
"261301060000","FAIRPORT CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","12","03","1","00","13","04",353
"231301040002","BEAVER RIVER SENIOR HIGH SCHOOL",2012,"All Students","3","01","4","01","7","02",306
"231301040002","BEAVER RIVER SENIOR HIGH SCHOOL",2012,"General Education","3","01","1","00","4","01",271
"231301040002","BEAVER RIVER SENIOR HIGH SCHOOL",2012,"Students with Disabilities","0","00","3","09","3","09",35
"231101040007","SOUTH LEWIS SENIOR HIGH SCHOOL",2012,"All Students","12","03","1","00","13","04",346
"231101040007","SOUTH LEWIS SENIOR HIGH SCHOOL",2012,"General Education","10","03","0","00","10","03",305
"231101040007","SOUTH LEWIS SENIOR HIGH SCHOOL",2012,"Students with Disabilities","2","05","1","02","3","07",41
"260501060010","ARCADIA HIGH SCHOOL",2012,"All Students","30","03","20","02","50","05",1065
"260501060010","ARCADIA HIGH SCHOOL",2012,"General Education","26","03","9","01","35","04",919
"260501060010","ARCADIA HIGH SCHOOL",2012,"Students with Disabilities","4","03","11","08","15","10",146
"260501060013","ODYSSEY ACADEMY",2012,"All Students","1","00","0","00","1","00",461
"260501060013","ODYSSEY ACADEMY",2012,"General Education","1","00","0","00","1","00",416
"260501060013","ODYSSEY ACADEMY",2012,"Students with Disabilities","0","00","0","00","0","00",45
"260501060000","GREECE CENTRAL SCHOOL DISTRICT",2012,"All Students","75","02","43","01","118","03",3906
"260501060000","GREECE CENTRAL SCHOOL DISTRICT",2012,"General Education","62","02","28","01","90","03",3360
"260501060000","GREECE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","13","02","15","03","28","05",546
"142301060006","ORCHARD PARK HIGH SCHOOL",2012,"All Students","5","00","0","00","5","00",1576
"142301060006","ORCHARD PARK HIGH SCHOOL",2012,"General Education","4","00","0","00","4","00",1423
"142301060006","ORCHARD PARK HIGH SCHOOL",2012,"Students with Disabilities","1","01","0","00","1","01",153
"142301060000","ORCHARD PARK CENTRAL SCHOOL DISTRICT",2012,"All Students","10","01","0","00","10","01",1655
"142301060000","ORCHARD PARK CENTRAL SCHOOL DISTRICT",2012,"General Education","8","01","0","00","8","01",1447
"142301060000","ORCHARD PARK CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities","2","01","0","00","2","01",208
"142101040002","AKRON HIGH SCHOOL",2012,"All Students","9","02","0","00","9","02",473
"142101040002","AKRON HIGH SCHOOL",2012,"General Education","8","02","0","00","8","02",441
"142101040002","AKRON HIGH SCHOOL",2012,"Students with Disabilities","1","03","0","00","1","03",32
"320700860926","NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUSTRIES",2012,"All Students","0","00","3","01","3","01",399
"320700860926","NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUSTRIES",2012,"General Education","0","00","3","01","3","01",348
"320700860926","NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUSTRIES",2012,"Students with Disabilities","0","00","0","00","0","00",51
"320700860920","GREEN DOT NY CHARTER SCHOOL",2012,"All Students","1","00","0","00","1","00",379
"320700860920","GREEN DOT NY CHARTER SCHOOL",2012,"General Education","1","00","0","00","1","00",335
"320700860920","GREEN DOT NY CHARTER SCHOOL",2012,"Students with Disabilities","0","00","0","00","0","00",44
"310600010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 6",2012,"All Students","282","05","30","01","312","05",5850
"310600010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 6",2012,"General Education","217","05","27","01","244","05",4803
"310600010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 6",2012,"Students with Disabilities","65","06","3","00","68","06",1047
"310200860819","JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL",2012,"All Students","100","21","23","05","123","26",476
"310200860819","JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL",2012,"General Education","72","21","20","06","92","27",346
"310200860819","JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL",2012,"Students with Disabilities","28","22","3","02","31","24",130
"280219030002","EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL",2012,"All Students","6","01","0","00","6","01",403
"280219030002","EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL",2012,"General Education","4","01","0","00","4","01",348
"280219030002","EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL",2012,"Students with Disabilities","2","04","0","00","2","04",55
"280202030009","TURTLE HOOK MIDDLE SCHOOL",2012,"All Students","3","100","0","00","3","100",3
"280202030009","TURTLE HOOK MIDDLE SCHOOL",2012,"General Education","0",,"0",,"0",,0
"280202030009","TURTLE HOOK MIDDLE SCHOOL",2012,"Students with Disabilities","0",,"0",,"0",,0
"280202030010","UNIONDALE HIGH SCHOOL",2012,"All Students","67","03","0","00","67","03",2159
"280202030010","UNIONDALE HIGH SCHOOL",2012,"General Education","63","03","0","00","63","03",2006
"280202030010","UNIONDALE HIGH SCHOOL",2012,"Students with Disabilities","4","03","0","00","4","03",153
"280202030000","UNIONDALE UNION FREE SCHOOL DISTRICT",2012,"All Students","74","03","0","00","74","03",2237
"280202030000","UNIONDALE UNION FREE SCHOOL DISTRICT",2012,"General Education","68","03","0","00","68","03",2026
"280202030000","UNIONDALE UNION FREE SCHOOL DISTRICT",2012,"Students with Disabilities","6","03","0","00","6","03",211
"280201030007","HEMPSTEAD HIGH SCHOOL",2012,"All Students","168","18","35","04","203","22",934
"280201030007","HEMPSTEAD HIGH SCHOOL",2012,"General Education","162","19","35","04","197","23",872
"280201030007","HEMPSTEAD HIGH SCHOOL",2012,"Students with Disabilities","6","10","0","00","6","10",62
"580912060001","EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL",2012,"All Students","4","00","1","00","5","00",1207
"580912060001","EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL",2012,"General Education","3","00","0","00","3","00",1076
"580912060001","EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL",2012,"Students with Disabilities","1","01","1","01","2","02",131
"580301020000","EAST HAMPTON UNION FREE SCHOOL DISTRICT",2012,"All Students","17","02","4","00","21","02",908
