"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","TOTAL_GRAD_PLAN","NUM_4YR_COLLEGE","PER_4YR_COLLEGE","NUM_2YR_COLLEGE","PER_2YR_COLLEGE","NUM_POST_SECONDARY","PER_POST_SECONDARY","NUM_MILITARY","PER_MILITARY","NUM_EMPLOYMENT","PER_EMPLOYMENT","NUM_ADULT_SERVICES","PER_ADULT_SERVICES","NUM_OTHER","PER_OTHER","NUM_UNKNOWN","PER_UNKNOWN"
"101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL",2013,"All Students",151,"64","42","59","39","0","00","3","02","21","14","0","00","0","00","4","03"
"101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL",2013,"General Education",127,"61","48","48","38","0","00","3","02","12","09","0","00","0","00","3","02"
"101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL",2013,"Students with Disabilities",24,"3","13","11","46","0","00","0","00","9","38","0","00","0","00","1","04"
"101601040000","NEW LEBANON CENTRAL SCHOOL DISTRICT",2013,"All Students",45,"21","47","21","47","0","00","1","02","0","00","0","00","1","02","1","02"
"101601040000","NEW LEBANON CENTRAL SCHOOL DISTRICT",2013,"General Education",42,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"101601040000","NEW LEBANON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",43,"20","47","20","47","0","00","1","02","0","00","0","00","1","02","1","02"
"101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",41,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",2,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"110101040000","CINCINNATUS CENTRAL SCHOOL DISTRICT",2013,"All Students",41,"9","22","20","49","0","00","0","00","12","29","0","00","0","00","0","00"
"110101040000","CINCINNATUS CENTRAL SCHOOL DISTRICT",2013,"General Education",37,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"110101040000","CINCINNATUS CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",4,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"110101040002","CINCINNATUS HIGH SCHOOL",2013,"All Students",41,"9","22","20","49","0","00","0","00","12","29","0","00","0","00","0","00"
"110101040002","CINCINNATUS HIGH SCHOOL",2013,"General Education",37,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"110101040002","CINCINNATUS HIGH SCHOOL",2013,"Students with Disabilities",4,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"110200010000","CORTLAND CITY SCHOOL DISTRICT",2013,"All Students",163,"59","36","74","45","0","00","2","01","25","15","0","00","1","01","2","01"
"110200010000","CORTLAND CITY SCHOOL DISTRICT",2013,"General Education",144,"57","40","65","45","0","00","2","01","19","13","0","00","0","00","1","01"
"110200010000","CORTLAND CITY SCHOOL DISTRICT",2013,"Students with Disabilities",19,"2","11","9","47","0","00","0","00","6","32","0","00","1","05","1","05"
"110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",163,"59","36","74","45","0","00","2","01","25","15","0","00","1","01","2","01"
"110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",144,"57","40","65","45","0","00","2","01","19","13","0","00","0","00","1","01"
"110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",19,"2","11","9","47","0","00","0","00","6","32","0","00","1","05","1","05"
"110304040000","MCGRAW CENTRAL SCHOOL DISTRICT",2013,"All Students",50,"11","22","26","52","2","04","2","04","9","18","0","00","0","00","0","00"
"110304040000","MCGRAW CENTRAL SCHOOL DISTRICT",2013,"General Education",43,"10","23","23","53","1","02","2","05","7","16","0","00","0","00","0","00"
"110304040000","MCGRAW CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",7,"1","14","3","43","1","14","0","00","2","29","0","00","0","00","0","00"
"110304040002","MCGRAW SECONDARY SCHOOL",2013,"All Students",49,"11","22","26","53","2","04","2","04","8","16","0","00","0","00","0","00"
"110304040002","MCGRAW SECONDARY SCHOOL",2013,"General Education",42,"10","24","23","55","1","02","2","05","6","14","0","00","0","00","0","00"
"110304040002","MCGRAW SECONDARY SCHOOL",2013,"Students with Disabilities",7,"1","14","3","43","1","14","0","00","2","29","0","00","0","00","0","00"
"110701060000","HOMER CENTRAL SCHOOL DISTRICT",2013,"All Students",161,"74","46","55","34","0","00","8","05","16","10","0","00","0","00","8","05"
"110701060000","HOMER CENTRAL SCHOOL DISTRICT",2013,"General Education",139,"71","51","45","32","0","00","8","06","11","08","0","00","0","00","4","03"
"110701060000","HOMER CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",22,"3","14","10","45","0","00","0","00","5","23","0","00","0","00","4","18"
"110701060001","HOMER SENIOR HIGH SCHOOL",2013,"All Students",158,"74","47","55","35","0","00","8","05","16","10","0","00","0","00","5","03"
"110701060001","HOMER SENIOR HIGH SCHOOL",2013,"General Education",138,"71","51","45","33","0","00","8","06","11","08","0","00","0","00","3","02"
"110701060001","HOMER SENIOR HIGH SCHOOL",2013,"Students with Disabilities",20,"3","15","10","50","0","00","0","00","5","25","0","00","0","00","2","10"
"110901040000","MARATHON CENTRAL SCHOOL DISTRICT",2013,"All Students",56,"20","36","20","36","0","00","3","05","12","21","0","00","1","02","0","00"
"110901040000","MARATHON CENTRAL SCHOOL DISTRICT",2013,"General Education",43,"19","44","15","35","0","00","2","05","7","16","0","00","0","00","0","00"
"110901040000","MARATHON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",13,"1","08","5","38","0","00","1","08","5","38","0","00","1","08","0","00"
"110901040001","MARATHON HIGH SCHOOL",2013,"All Students",55,"20","36","20","36","0","00","3","05","12","22","0","00","0","00","0","00"
"110901040001","MARATHON HIGH SCHOOL",2013,"General Education",43,"19","44","15","35","0","00","2","05","7","16","0","00","0","00","0","00"
"110901040001","MARATHON HIGH SCHOOL",2013,"Students with Disabilities",12,"1","08","5","42","0","00","1","08","5","42","0","00","0","00","0","00"
"111111111111","All Public Schools",2013,"All Students",184702,,,,,"2806","02","3655","02","11401","06","1195","01","1462","01","18394","10"
"111111111111","All Public Schools",2013,"General Education",162235,,,,,"1784","01","3204","02","7845","05","45","00","890","01","14167","09"
"111111111111","All Public Schools",2013,"Students with Disabilities",22467,"3308","15","8181","36","1022","05","451","02","3556","16","1150","05","572","03","4227","19"
"120102040000","ANDES CENTRAL SCHOOL DISTRICT",2013,"All Students",9,"4","44","1","11","0","00","0","00","4","44","0","00","0","00","0","00"
"120102040000","ANDES CENTRAL SCHOOL DISTRICT",2013,"General Education",8,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120102040000","ANDES CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120102040001","ANDES CENTRAL SCHOOL",2013,"All Students",9,"4","44","1","11","0","00","0","00","4","44","0","00","0","00","0","00"
"120102040001","ANDES CENTRAL SCHOOL",2013,"General Education",8,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120102040001","ANDES CENTRAL SCHOOL",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120301040000","DOWNSVILLE CENTRAL SCHOOL DISTRICT",2013,"All Students",21,"3","14","11","52","1","05","3","14","2","10","0","00","1","05","0","00"
"120301040000","DOWNSVILLE CENTRAL SCHOOL DISTRICT",2013,"General Education",20,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120301040000","DOWNSVILLE CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120301040001","DOWNSVILLE CENTRAL SCHOOL",2013,"All Students",21,"3","14","11","52","1","05","3","14","2","10","0","00","1","05","0","00"
"120301040001","DOWNSVILLE CENTRAL SCHOOL",2013,"General Education",20,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120301040001","DOWNSVILLE CENTRAL SCHOOL",2013,"Students with Disabilities",1,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"120401040000","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT",2013,"All Students",18,"7","39","2","11","2","11","2","11","3","17","0","00","1","06","1","06"
"120401040000","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT",2013,"General Education",11,"7","64","1","09","0","00","2","18","0","00","0","00","0","00","1","09"
"120401040000","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",7,"0","00","1","14","2","29","0","00","3","43","0","00","1","14","0","00"
"120401040001","CHARLOTTE VALLEY SCHOOL",2013,"All Students",18,"7","39","2","11","2","11","2","11","3","17","0","00","1","06","1","06"
"120401040001","CHARLOTTE VALLEY SCHOOL",2013,"General Education",11,"7","64","1","09","0","00","2","18","0","00","0","00","0","00","1","09"
"120401040001","CHARLOTTE VALLEY SCHOOL",2013,"Students with Disabilities",7,"0","00","1","14","2","29","0","00","3","43","0","00","1","14","0","00"
"120501040000","DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI",2013,"All Students",56,"22","39","26","46","0","00","2","04","6","11","0","00","0","00","0","00"
"120501040000","DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI",2013,"General Education",47,"22","47","20","43","0","00","2","04","3","06","0","00","0","00","0","00"
"120501040000","DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI",2013,"Students with Disabilities",9,"0","00","6","67","0","00","0","00","3","33","0","00","0","00","0","00"
"120501040002","DELAWARE ACADEMY HIGH SCHOOL",2013,"All Students",52,"22","42","26","50","0","00","2","04","2","04","0","00","0","00","0","00"
"120501040002","DELAWARE ACADEMY HIGH SCHOOL",2013,"General Education",46,"22","48","20","43","0","00","2","04","2","04","0","00","0","00","0","00"
"120501040002","DELAWARE ACADEMY HIGH SCHOOL",2013,"Students with Disabilities",6,"0","00","6","100","0","00","0","00","0","00","0","00","0","00","0","00"
"120701040000","FRANKLIN CENTRAL SCHOOL DISTRICT",2013,"All Students",22,"10","45","2","09","2","09","2","09","6","27","0","00","0","00","0","00"
"120701040000","FRANKLIN CENTRAL SCHOOL DISTRICT",2013,"General Education",15,"9","60","1","07","0","00","2","13","3","20","0","00","0","00","0","00"
"120701040000","FRANKLIN CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",7,"1","14","1","14","2","29","0","00","3","43","0","00","0","00","0","00"
"120701040001","FRANKLIN CENTRAL SCHOOL",2013,"All Students",22,"10","45","2","09","2","09","2","09","6","27","0","00","0","00","0","00"
"120701040001","FRANKLIN CENTRAL SCHOOL",2013,"General Education",15,"9","60","1","07","0","00","2","13","3","20","0","00","0","00","0","00"
"120701040001","FRANKLIN CENTRAL SCHOOL",2013,"Students with Disabilities",7,"1","14","1","14","2","29","0","00","3","43","0","00","0","00","0","00"
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2013,"All Students",40,"11","28","9","23","3","08","1","03","15","38","0","00","0","00","1","03"
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2013,"General Education",30,"11","37","9","30","2","07","1","03","7","23","0","00","0","00","0","00"
"120906040000","HANCOCK CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",10,"0","00","0","00","1","10","0","00","8","80","0","00","0","00","1","10"
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2013,"All Students",37,"11","30","9","24","3","08","1","03","12","32","0","00","0","00","1","03"
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2013,"General Education",30,"11","37","9","30","2","07","1","03","7","23","0","00","0","00","0","00"
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",2013,"Students with Disabilities",7,"0","00","0","00","1","14","0","00","5","71","0","00","0","00","1","14"
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2013,"All Students",35,"13","37","14","40","1","03","1","03","5","14","1","03","0","00","0","00"
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2013,"General Education",27,"13","48","11","41","1","04","0","00","2","07","0","00","0","00","0","00"
"121401040000","MARGARETVILLE CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",8,"0","00","3","38","0","00","1","13","3","38","1","13","0","00","0","00"
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2013,"All Students",34,"13","38","14","41","1","03","1","03","5","15","0","00","0","00","0","00"
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2013,"General Education",27,"13","48","11","41","1","04","0","00","2","07","0","00","0","00","0","00"
"121401040001","MARGARETVILLE CENTRAL SCHOOL",2013,"Students with Disabilities",7,"0","00","3","43","0","00","1","14","3","43","0","00","0","00","0","00"
"121502040000","ROXBURY CENTRAL SCHOOL DISTRICT",2013,"All Students",27,"9","33","10","37","1","04","1","04","5","19","0","00","1","04","0","00"
"121502040000","ROXBURY CENTRAL SCHOOL DISTRICT",2013,"General Education",24,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121502040000","ROXBURY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121502040001","ROXBURY CENTRAL SCHOOL",2013,"All Students",26,"9","35","10","38","1","04","1","04","5","19","0","00","0","00","0","00"
"121502040001","ROXBURY CENTRAL SCHOOL",2013,"General Education",24,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121502040001","ROXBURY CENTRAL SCHOOL",2013,"Students with Disabilities",2,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2013,"All Students",93,"27","29","28","30","2","02","9","10","21","23","0","00","0","00","6","06"
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2013,"General Education",77,"26","34","24","31","1","01","9","12","12","16","0","00","0","00","5","06"
"121601060000","SIDNEY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",16,"1","06","4","25","1","06","0","00","9","56","0","00","0","00","1","06"
"121601060006","SIDNEY HIGH SCHOOL",2013,"All Students",87,"26","30","28","32","2","02","8","09","18","21","0","00","0","00","5","06"
"121601060006","SIDNEY HIGH SCHOOL",2013,"General Education",75,"25","33","24","32","1","01","8","11","12","16","0","00","0","00","5","07"
"121601060006","SIDNEY HIGH SCHOOL",2013,"Students with Disabilities",12,"1","08","4","33","1","08","0","00","6","50","0","00","0","00","0","00"
"121701040000","STAMFORD CENTRAL SCHOOL DISTRICT",2013,"All Students",27,"11","41","12","44","0","00","0","00","4","15","0","00","0","00","0","00"
"121701040000","STAMFORD CENTRAL SCHOOL DISTRICT",2013,"General Education",20,"10","50","9","45","0","00","0","00","1","05","0","00","0","00","0","00"
"121701040000","STAMFORD CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",7,"1","14","3","43","0","00","0","00","3","43","0","00","0","00","0","00"
"121701040001","STAMFORD CENTRAL SCHOOL",2013,"All Students",27,"11","41","12","44","0","00","0","00","4","15","0","00","0","00","0","00"
"121701040001","STAMFORD CENTRAL SCHOOL",2013,"General Education",20,"10","50","9","45","0","00","0","00","1","05","0","00","0","00","0","00"
"121701040001","STAMFORD CENTRAL SCHOOL",2013,"Students with Disabilities",7,"1","14","3","43","0","00","0","00","3","43","0","00","0","00","0","00"
"121702040000","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT",2013,"All Students",21,"4","19","13","62","0","00","2","10","2","10","0","00","0","00","0","00"
"121702040000","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT",2013,"General Education",18,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121702040000","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",3,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL",2013,"All Students",20,"4","20","13","65","0","00","2","10","1","05","0","00","0","00","0","00"
"121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL",2013,"General Education",18,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL",2013,"Students with Disabilities",2,"s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"121901040000","WALTON CENTRAL SCHOOL DISTRICT",2013,"All Students",77,"8","10","43","56","1","01","3","04","20","26","2","03","0","00","0","00"
"121901040000","WALTON CENTRAL SCHOOL DISTRICT",2013,"General Education",61,"7","11","41","67","0","00","3","05","10","16","0","00","0","00","0","00"
"121901040000","WALTON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",16,"1","06","2","13","1","06","0","00","10","63","2","13","0","00","0","00"
"121901040002","WALTON HIGH SCHOOL",2013,"All Students",75,"8","11","43","57","1","01","3","04","18","24","2","03","0","00","0","00"
"121901040002","WALTON HIGH SCHOOL",2013,"General Education",60,"7","12","41","68","0","00","3","05","9","15","0","00","0","00","0","00"
"121901040002","WALTON HIGH SCHOOL",2013,"Students with Disabilities",15,"1","07","2","13","1","07","0","00","9","60","2","13","0","00","0","00"
"130200010000","BEACON CITY SCHOOL DISTRICT",2013,"All Students",218,"86","39","103","47","3","01","9","04","13","06","4","02","0","00","0","00"
"130200010000","BEACON CITY SCHOOL DISTRICT",2013,"General Education",186,"85","46","84","45","2","01","9","05","6","03","0","00","0","00","0","00"
"130200010000","BEACON CITY SCHOOL DISTRICT",2013,"Students with Disabilities",32,"1","03","19","59","1","03","0","00","7","22","4","13","0","00","0","00"
"130200010005","BEACON HIGH SCHOOL",2013,"All Students",212,"86","41","101","48","3","01","9","04","12","06","1","00","0","00","0","00"
"130200010005","BEACON HIGH SCHOOL",2013,"General Education",184,"85","46","83","45","2","01","9","05","5","03","0","00","0","00","0","00"
"130200010005","BEACON HIGH SCHOOL",2013,"Students with Disabilities",28,"1","04","18","64","1","04","0","00","7","25","1","04","0","00","0","00"
"130502020000","DOVER UNION FREE SCHOOL DISTRICT",2013,"All Students",109,"31","28","50","46","6","06","1","01","20","18","0","00","1","01","0","00"
"130502020000","DOVER UNION FREE SCHOOL DISTRICT",2013,"General Education",98,"31","32","46","47","4","04","1","01","15","15","0","00","1","01","0","00"
"130502020000","DOVER UNION FREE SCHOOL DISTRICT",2013,"Students with Disabilities",11,"0","00","4","36","2","18","0","00","5","45","0","00","0","00","0","00"
"130502020003","DOVER HIGH SCHOOL",2013,"All Students",106,"31","29","50","47","6","06","1","01","17","16","0","00","1","01","0","00"
"130502020003","DOVER HIGH SCHOOL",2013,"General Education",97,"31","32","46","47","4","04","1","01","14","14","0","00","1","01","0","00"
"130502020003","DOVER HIGH SCHOOL",2013,"Students with Disabilities",9,"0","00","4","44","2","22","0","00","3","33","0","00","0","00","0","00"
"130801060000","HYDE PARK CENTRAL SCHOOL DISTRICT",2013,"All Students",311,"123","40","129","41","4","01","7","02","22","07","0","00","2","01","24","08"
"130801060000","HYDE PARK CENTRAL SCHOOL DISTRICT",2013,"General Education",268,"117","44","114","43","3","01","5","02","12","04","0","00","2","01","15","06"
"130801060000","HYDE PARK CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",43,"6","14","15","35","1","02","2","05","10","23","0","00","0","00","9","21"
"130801060007","FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL",2013,"All Students",306,"123","40","129","42","4","01","7","02","22","07","0","00","2","01","19","06"
"130801060007","FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL",2013,"General Education",268,"117","44","114","43","3","01","5","02","12","04","0","00","2","01","15","06"
"130801060007","FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL",2013,"Students with Disabilities",38,"6","16","15","39","1","03","2","05","10","26","0","00","0","00","4","11"
"131101040000","NORTHEAST CENTRAL SCHOOL DISTRICT",2013,"All Students",50,"25","50","10","20","1","02","8","16","5","10","0","00","1","02","0","00"
"131101040000","NORTHEAST CENTRAL SCHOOL DISTRICT",2013,"General Education",45,"25","56","9","20","1","02","6","13","4","09","0","00","0","00","0","00"
"131101040000","NORTHEAST CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",5,"0","00","1","20","0","00","2","40","1","20","0","00","1","20","0","00"
"131101040004","WEBUTUCK HIGH SCHOOL",2013,"All Students",50,"25","50","10","20","1","02","8","16","5","10","0","00","1","02","0","00"
"131101040004","WEBUTUCK HIGH SCHOOL",2013,"General Education",45,"25","56","9","20","1","02","6","13","4","09","0","00","0","00","0","00"
"131101040004","WEBUTUCK HIGH SCHOOL",2013,"Students with Disabilities",5,"0","00","1","20","0","00","2","40","1","20","0","00","1","20","0","00"
"131201040000","PAWLING CENTRAL SCHOOL DISTRICT",2013,"All Students",107,"49","46","42","39","2","02","0","00","14","13","0","00","0","00","0","00"
"131201040000","PAWLING CENTRAL SCHOOL DISTRICT",2013,"General Education",95,"46","48","38","40","2","02","0","00","9","09","0","00","0","00","0","00"
"131201040000","PAWLING CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",12,"3","25","4","33","0","00","0","00","5","42","0","00","0","00","0","00"
"131201040002","PAWLING HIGH SCHOOL",2013,"All Students",102,"48","47","41","40","2","02","0","00","11","11","0","00","0","00","0","00"
"131201040002","PAWLING HIGH SCHOOL",2013,"General Education",94,"46","49","37","39","2","02","0","00","9","10","0","00","0","00","0","00"
"131201040002","PAWLING HIGH SCHOOL",2013,"Students with Disabilities",8,"2","25","4","50","0","00","0","00","2","25","0","00","0","00","0","00"
"131301040000","PINE PLAINS CENTRAL SCHOOL DISTRICT",2013,"All Students",91,"31","34","44","48","6","07","3","03","4","04","0","00","0","00","3","03"
"131301040000","PINE PLAINS CENTRAL SCHOOL DISTRICT",2013,"General Education",80,"31","39","39","49","6","08","2","03","0","00","0","00","0","00","2","03"
"131301040000","PINE PLAINS CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",11,"0","00","5","45","0","00","1","09","4","36","0","00","0","00","1","09"
"131301040002","STISSING MOUNTAIN HIGH SCHOOL",2013,"All Students",90,"31","34","43","48","6","07","3","03","4","04","0","00","0","00","3","03"
"131301040002","STISSING MOUNTAIN HIGH SCHOOL",2013,"General Education",79,"31","39","38","48","6","08","2","03","0","00","0","00","0","00","2","03"
"131301040002","STISSING MOUNTAIN HIGH SCHOOL",2013,"Students with Disabilities",11,"0","00","5","45","0","00","1","09","4","36","0","00","0","00","1","09"
"131500010000","POUGHKEEPSIE CITY SCHOOL DISTRICT",2013,"All Students",185,"78","42","59","32","0","00","7","04","7","04","0","00","32","17","2","01"
"131500010000","POUGHKEEPSIE CITY SCHOOL DISTRICT",2013,"General Education",151,"71","47","49","32","0","00","5","03","5","03","0","00","20","13","1","01"
"131500010000","POUGHKEEPSIE CITY SCHOOL DISTRICT",2013,"Students with Disabilities",34,"7","21","10","29","0","00","2","06","2","06","0","00","12","35","1","03"
"131500010010","POUGHKEEPSIE HIGH SCHOOL",2013,"All Students",179,"78","44","59","33","0","00","7","04","6","03","0","00","27","15","2","01"
"131500010010","POUGHKEEPSIE HIGH SCHOOL",2013,"General Education",151,"71","47","49","32","0","00","5","03","5","03","0","00","20","13","1","01"
"131500010010","POUGHKEEPSIE HIGH SCHOOL",2013,"Students with Disabilities",28,"7","25","10","36","0","00","2","07","1","04","0","00","7","25","1","04"
"131601060000","ARLINGTON CENTRAL SCHOOL DISTRICT",2013,"All Students",773,"349","45","355","46","0","00","12","02","32","04","3","00","14","02","8","01"
"131601060000","ARLINGTON CENTRAL SCHOOL DISTRICT",2013,"General Education",673,"337","50","302","45","0","00","10","01","15","02","0","00","9","01","0","00"
"131601060000","ARLINGTON CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",100,"12","12","53","53","0","00","2","02","17","17","3","03","5","05","8","08"
"131601060008","ARLINGTON HIGH SCHOOL",2013,"All Students",758,"348","46","352","46","0","00","12","02","27","04","0","00","12","02","7","01"
"131601060008","ARLINGTON HIGH SCHOOL",2013,"General Education",673,"337","50","302","45","0","00","10","01","15","02","0","00","9","01","0","00"
"131601060008","ARLINGTON HIGH SCHOOL",2013,"Students with Disabilities",85,"11","13","50","59","0","00","2","02","12","14","0","00","3","04","7","08"
"131602020000","SPACKENKILL UNION FREE SCHOOL DISTRICT",2013,"All Students",130,"81","62","45","35","0","00","0","00","1","01","3","02","0","00","0","00"
"131602020000","SPACKENKILL UNION FREE SCHOOL DISTRICT",2013,"General Education",120,"80","67","39","33","0","00","0","00","1","01","0","00","0","00","0","00"
"131602020000","SPACKENKILL UNION FREE SCHOOL DISTRICT",2013,"Students with Disabilities",10,"1","10","6","60","0","00","0","00","0","00","3","30","0","00","0","00"
"131602020005","SPACKENKILL HIGH SCHOOL",2013,"All Students",125,"81","65","44","35","0","00","0","00","0","00","0","00","0","00","0","00"
"131602020005","SPACKENKILL HIGH SCHOOL",2013,"General Education",118,"80","68","38","32","0","00","0","00","0","00","0","00","0","00","0","00"
"131602020005","SPACKENKILL HIGH SCHOOL",2013,"Students with Disabilities",7,"1","14","6","86","0","00","0","00","0","00","0","00","0","00","0","00"
"131701060000","RED HOOK CENTRAL SCHOOL DISTRICT",2013,"All Students",161,"85","53","48","30","1","01","3","02","10","06","3","02","7","04","4","02"
"131701060000","RED HOOK CENTRAL SCHOOL DISTRICT",2013,"General Education",144,"82","57","40","28","1","01","3","02","9","06","0","00","7","05","2","01"
"131701060000","RED HOOK CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",17,"3","18","8","47","0","00","0","00","1","06","3","18","0","00","2","12"
"131701060002","RED HOOK SENIOR HIGH SCHOOL",2013,"All Students",158,"85","54","48","30","1","01","3","02","10","06","0","00","7","04","4","03"
"131701060002","RED HOOK SENIOR HIGH SCHOOL",2013,"General Education",144,"82","57","40","28","1","01","3","02","9","06","0","00","7","05","2","01"
"131701060002","RED HOOK SENIOR HIGH SCHOOL",2013,"Students with Disabilities",14,"3","21","8","57","0","00","0","00","1","07","0","00","0","00","2","14"
"131801040000","RHINEBECK CENTRAL SCHOOL DISTRICT",2013,"All Students",97,"58","60","32","33","0","00","0","00","3","03","1","01","0","00","3","03"
"131801040000","RHINEBECK CENTRAL SCHOOL DISTRICT",2013,"General Education",91,"58","64","29","32","0","00","0","00","1","01","0","00","0","00","3","03"
"131801040000","RHINEBECK CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",6,"0","00","3","50","0","00","0","00","2","33","1","17","0","00","0","00"
"131801040001","RHINEBECK SENIOR HIGH SCHOOL",2013,"All Students",96,"58","60","32","33","0","00","0","00","3","03","0","00","0","00","3","03"
"131801040001","RHINEBECK SENIOR HIGH SCHOOL",2013,"General Education",91,"58","64","29","32","0","00","0","00","1","01","0","00","0","00","3","03"
"131801040001","RHINEBECK SENIOR HIGH SCHOOL",2013,"Students with Disabilities",5,"0","00","3","60","0","00","0","00","2","40","0","00","0","00","0","00"
"132101060000","WAPPINGERS CENTRAL SCHOOL DISTRICT",2013,"All Students",989,"392","40","469","47","23","02","37","04","61","06","2","00","3","00","2","00"
"132101060000","WAPPINGERS CENTRAL SCHOOL DISTRICT",2013,"General Education",851,"383","45","393","46","14","02","28","03","30","04","0","00","2","00","1","00"
"132101060000","WAPPINGERS CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",138,"9","07","76","55","9","07","9","07","31","22","2","01","1","01","1","01"
